"",Date,Optimized TP,Optimized SL,Percentage Change,ROI
88,2024-03-28 13:00:00,0.012,0.010,0.0008,1.12917
89,2024-03-28 21:00:00,0.007,0.011,0.0013,0.62952
90,2024-03-30 01:00:00,0.013,0.009,0.0002,1.22910
91,2024-03-31 21:00:00,0.013,0.011,0.0004,1.22910
92,2024-04-03 17:00:00,0.013,0.005,0.0002,1.22910
93,2024-04-05 20:00:00,0.013,0.007,0.0004,1.22910
94,2024-04-06 09:00:00,0.008,0.007,0.0010,0.72945
95,2024-04-07 02:00:00,0.008,0.013,0.0007,0.72945
96,2024-04-07 09:00:00,0.003,0.004,0.0001,0.22980
97,2024-04-08 10:00:00,0.013,0.013,0.0003,1.22910
98,2024-04-10 21:00:00,0.013,0.011,0.0007,1.22910
99,2024-04-11 22:00:00,0.013,0.008,0.0012,1.22910
100,2024-04-12 10:00:00,0.013,0.013,0.0006,1.22910
101,2024-04-12 22:00:00,0.005,0.010,0.0010,0.42966
102,2024-04-13 01:00:00,0.011,0.004,0.0002,1.02924
103,2024-04-13 21:00:00,0.013,0.013,0.0007,1.22910
104,2024-04-14 01:00:00,0.012,0.005,0.0014,1.12917
105,2024-04-14 06:00:00,0.013,0.010,0.0004,1.22910
106,2024-04-15 21:00:00,0.012,0.013,0.0001,1.12917
107,2024-04-17 13:00:00,0.011,0.007,0.0004,1.02924
108,2024-04-17 17:00:00,0.004,0.003,0.0003,-0.36978
109,2024-04-18 16:00:00,0.007,0.009,0.0012,0.62952
110,2024-04-19 16:00:00,0.013,0.005,0.0004,1.22910
111,2024-04-20 03:00:00,0.013,0.010,0.0008,1.22910
112,2024-04-20 21:00:00,0.003,0.008,0.0007,0.22980
113,2024-04-21 21:00:00,0.008,0.003,0.0006,-0.36978
114,2024-04-22 16:00:00,0.013,0.012,0.0003,1.22910
115,2024-04-24 22:00:00,0.011,0.011,0.0002,1.02924
116,2024-04-25 09:00:00,0.007,0.012,0.0010,0.62952
117,2024-04-25 22:00:00,0.004,0.003,0.0003,-0.36978
118,2024-04-26 21:00:00,0.013,0.006,0.0006,1.22910
119,2024-04-27 05:00:00,0.013,0.008,0.0001,1.22910
120,2024-04-27 13:00:00,0.005,0.007,0.0006,0.42966
121,2024-04-28 09:00:00,0.012,0.009,0.0010,1.12917
122,2024-04-29 05:00:00,0.012,0.013,0.0006,1.12917
123,2024-04-29 10:00:00,0.013,0.013,0.0007,1.22910
124,2024-04-30 04:00:00,0.013,0.007,0.0006,1.22910
125,2024-04-30 18:00:00,0.013,0.013,0.0006,1.22910
126,2024-05-04 12:00:00,0.013,0.007,0.0008,1.22910
127,2024-05-05 12:00:00,0.003,0.011,0.0001,0.22980
128,2024-05-05 19:00:00,0.012,0.007,0.0008,1.12917
129,2024-05-06 05:00:00,0.013,0.006,0.0010,1.22910
130,2024-05-07 06:00:00,0.013,0.008,0.0008,1.22910
131,2024-05-08 21:00:00,0.013,0.008,0.0004,1.22910
132,2024-05-09 16:00:00,0.007,0.010,0.0012,0.62952
133,2024-05-10 13:00:00,0.005,0.003,0.0002,-0.36978
134,2024-05-11 00:00:00,0.005,0.007,0.0006,0.42966
135,2024-05-12 02:00:00,0.013,0.005,0.0006,1.22910
136,2024-05-12 21:00:00,0.009,0.012,0.0014,0.82938
137,2024-05-13 11:00:00,0.013,0.012,0.0011,1.22910
138,2024-05-15 19:00:00,0.013,0.011,0.0007,1.22910
139,2024-05-17 01:00:00,0.013,0.008,0.0003,1.22910
140,2024-05-17 17:00:00,0.013,0.011,0.0013,1.22910
141,2024-05-17 21:00:00,0.013,0.008,0.0004,1.22910
142,2024-05-18 13:00:00,0.009,0.013,0.0012,0.82938
143,2024-05-18 18:00:00,0.008,0.013,0.0011,0.72945
144,2024-05-19 11:00:00,0.013,0.010,0.0005,1.22910
145,2024-05-20 02:00:00,0.012,0.007,0.0004,1.12917
146,2024-05-20 13:00:00,0.004,0.007,0.0013,0.32973
147,2024-05-20 17:00:00,0.005,0.003,0.0004,-0.36978
148,2024-05-20 22:00:00,0.003,0.011,0.0012,0.22980
149,2024-05-21 18:00:00,0.012,0.013,0.0004,1.12917
150,2024-05-21 22:00:00,0.009,0.004,0.0001,0.82938
151,2024-05-23 01:00:00,0.013,0.011,0.0005,1.22910
152,2024-05-23 04:00:00,0.013,0.010,0.0006,1.22910
153,2024-05-25 09:00:00,0.013,0.013,0.0003,1.22910
154,2024-05-25 20:00:00,0.013,0.010,0.0005,1.22910
155,2024-05-27 00:00:00,0.011,0.007,0.0001,1.02924
156,2024-05-27 09:00:00,0.005,0.003,0.0002,0.42966
157,2024-05-27 14:00:00,0.006,0.003,0.0011,-0.36978
158,2024-05-29 15:00:00,0.013,0.009,0.0009,1.22910
159,2024-05-30 13:00:00,0.013,0.013,0.0002,1.22910
160,2024-05-31 17:00:00,0.003,0.003,0.0004,-0.36978
161,2024-06-01 01:00:00,0.003,0.013,0.0008,0.22980
162,2024-06-02 00:00:00,0.012,0.007,0.0006,1.12917
163,2024-06-02 17:00:00,0.008,0.006,0.0001,0.72945
164,2024-06-04 02:00:00,0.012,0.009,0.0011,1.12917
165,2024-06-06 00:00:00,0.009,0.010,0.0011,0.82938
166,2024-06-07 18:00:00,0.013,0.009,0.0005,1.22910
167,2024-06-08 00:00:00,0.012,0.012,0.0006,1.12917
168,2024-06-10 07:00:00,0.012,0.011,0.0001,1.12917
169,2024-06-10 09:00:00,0.013,0.012,0.0001,1.22910
170,2024-06-11 13:00:00,0.005,0.007,0.0014,0.42966
171,2024-06-11 16:00:00,0.006,0.003,0.0013,-0.36978
172,2024-06-13 17:00:00,0.012,0.013,0.0003,1.12917
173,2024-06-14 17:00:00,0.004,0.006,0.0011,0.32973
174,2024-06-16 12:00:00,0.007,0.009,0.0002,0.62952
175,2024-06-16 18:00:00,0.013,0.011,0.0004,1.22910
176,2024-06-17 05:00:00,0.013,0.005,0.0010,1.22910
177,2024-06-17 13:00:00,0.013,0.009,0.0011,1.22910
178,2024-06-18 17:00:00,0.011,0.013,0.0008,1.02924
179,2024-06-20 19:00:00,0.013,0.010,0.0011,1.22910
180,2024-06-21 09:00:00,0.013,0.006,0.0005,1.22910
181,2024-06-22 05:00:00,0.004,0.012,0.0012,0.32973
182,2024-06-23 13:00:00,0.012,0.011,0.0009,1.12917
