Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
"TP=0.012, SL=0.012",2024-01,34,18,16,0.529411765,-0.224942193,99775.05781
"TP=0.014, SL=0.014",2024-02,26,15,11,0.576923077,3.588034308,103588.0343
"TP=0.009, SL=0.009",2024-03,46,26,20,0.565217391,2.013167344,102013.1673
"TP=0.014, SL=0.014",2024-04,38,23,15,0.605263158,8.51057433,108510.5743
"TP=0.013, SL=0.013",2024-05,37,24,13,0.648648649,12.07251438,112072.5144
"TP=0.011, SL=0.011",2024-06,35,18,17,0.514285714,-1.550086643,98449.91336
"TP=0.009, SL=0.009",2024-07,40,24,16,0.6,4.328676083,104328.6761
