Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,CM_2x,ROI_2x,CM_3x,ROI_3x,CM_4x,ROI_4x,CM_5x,ROI_5x,CM_6x,ROI_6x,CM_7x,ROI_7x,CM_8x,ROI_8x
1/1/2024 2:58,Sell,42623.7,42627.1099,42217.88964,43215.36401,1,2:54:00,0:04:00,0.96,100960,101920,1.92,102880,2.88,103840,3.84,104800,4.8,105760,5.76,106720,6.72,107680,7.68
1/1/2024 18:58,Buy,43117.4,,,,Not Filled,0:00:00,0:00:00,0,100960,101920,0,102880,0,103840,0,104800,0,105760,0,106720,0,107680,0
1/2/2024 2:58,Sell,45376.4,45380.03011,44944.38182,46006.27453,1,12:19:00,0:00:00,1.929216,101929.216,103876.864,1.92,105842.944,2.88,107827.456,3.84,109830.4,4.8,111851.776,5.76,113891.584,6.72,115949.824,7.68
1/3/2024 0:58,Buy,45148.9,45145.28809,45578.68285,44522.28311,1,8:38:00,0:03:00,2.907736474,102907.7365,105871.2998,1.92,108891.2208,2.88,111968.0303,3.84,115102.2592,4.8,118294.4383,5.76,121545.0984,6.72,124854.7705,7.68
1/3/2024 18:58,Buy,42248,42244.62016,42650.16851,41661.6444,1,0:24:00,0:00:00,3.895650744,103895.6507,107904.0287,1.92,112027.2879,2.88,116267.6027,3.84,120627.1676,4.8,125108.1979,5.76,129712.9291,6.72,134443.6169,7.68
1/5/2024 2:58,Buy,43507.4,43503.91941,43921.55703,42903.56532,1,3:56:00,0:00:00,4.893048991,104893.049,109975.7861,1.92,115253.6738,2.88,120732.2786,3.84,126417.2717,4.8,132314.4301,5.76,138429.6379,6.72,144768.8866,7.68
1/6/2024 2:58,Buy,43913.8,43910.2869,44331.82565,43304.32494,1,34:25:00,0:00:00,5.900022261,105900.0223,112087.3212,1.92,118572.9796,2.88,125368.3981,3.84,132485.3007,4.8,139935.7413,5.76,147732.1096,6.72,155887.1371,7.68
1/6/2024 22:58,Buy,43877.1,43873.58983,44294.77629,43268.13429,1,14:21:00,0:00:00,6.916662475,106916.6625,114239.3978,1.92,121987.8815,2.88,130182.5446,3.84,138844.5952,4.8,147996.04,5.76,157659.7073,6.72,167859.2693,7.68
1/7/2024 2:58,Sell,43932.7,43936.21462,43514.42696,44542.53438,1,23:37:00,0:02:00,7.943062435,107943.0624,116432.7942,1.92,125501.1324,2.88,135181.5543,3.84,145509.1357,4.8,156520.6119,5.76,168254.4397,6.72,180750.8611,7.68
1/7/2024 6:58,Sell,44010.2,44013.72082,43591.1891,44621.11016,1,16:46:00,0:00:00,8.979315834,108979.3158,118668.3038,1.92,129115.5651,2.88,140372.526,3.84,152493.5742,4.8,165536.1992,5.76,179561.138,6.72,194632.5273,7.68
1/8/2024 1:58,Buy,43697.4,43693.90421,44113.36569,43090.92833,1,4:23:00,0:00:00,10.02551727,110025.5173,120946.7353,1.92,132834.0933,2.88,145762.831,3.84,159813.2658,4.8,175071.0842,5.76,191627.6465,6.72,209580.3054,7.68
1/8/2024 22:58,Sell,47017.1,47020.86137,46569.4611,47669.74925,1,1:29:00,0:10:00,11.08176223,111081.7622,123268.9126,1.92,136659.7152,2.88,151360.1237,3.84,167484.3026,4.8,185155.1787,5.76,204505.0243,6.72,225676.0728,7.68
1/10/2024 18:58,Buy,46481.2,46477.4815,46923.66533,45836.09226,-1,1:12:00,0:00:00,9.548833913,109548.8339,119866.6906,-2.76,131002.003,-4.14,143005.0449,-5.52,155927.8857,-6.9,169824.3299,-8.28,184749.839,-9.66,200761.4344,-11.04
1/11/2024 18:58,Sell,46574.1,46577.82593,46130.6788,47220.59993,1,1:57:00,0:01:00,10.60050272,110600.5027,122168.1311,1.92,134774.8607,2.88,148496.4386,3.84,163412.4242,4.8,179606.2113,5.76,197165.0281,6.72,216179.9125,7.68
1/12/2024 18:58,Sell,43642.1,43645.59137,43226.59369,44247.90053,1,2:19:00,0:27:00,11.66226754,111662.2675,124513.7592,1.92,138656.3767,2.88,154198.7018,3.84,171256.2206,4.8,189951.5291,5.76,210414.518,6.72,232782.5298,7.68
1/14/2024 3:58,Sell,42684.5,42687.91476,42278.11078,43277.00798,1,16:03:00,0:01:00,12.73422531,112734.2253,126904.4234,1.92,142649.6803,2.88,160119.932,3.84,179476.5192,4.8,200892.7372,5.76,224554.3736,6.72,250660.2281,7.68
1/15/2024 2:58,Sell,42382,42385.39056,41978.49081,42970.30895,-1,15:27:00,0:00:00,11.178493,111178.493,123401.8613,-2.76,136743.9836,-4.14,151281.3118,-5.52,167092.6393,-6.9,184258.8185,-8.28,202862.4212,-9.66,222987.3389,-11.04
1/15/2024 18:58,Sell,43015.7,43019.14126,42606.1575,43612.80541,1,3:15:00,0:00:00,12.24580654,112245.8065,125771.177,1.92,140682.2103,2.88,157090.5141,3.84,175113.086,4.8,194872.1265,5.76,216494.7759,6.72,240112.7666,7.68
1/16/2024 0:58,Buy,42611.2,42607.7911,43016.8259,42019.80359,1,7:47:00,0:01:00,13.32336628,113323.3663,128185.9836,1.92,144733.858,2.88,163122.7899,3.84,183518.5142,4.8,206096.7609,5.76,231043.2248,6.72,258553.427,7.68
1/16/2024 18:58,Buy,42996,42992.56032,43405.2889,42399.26299,1,2:18:00,0:04:00,14.4112706,114411.2706,130647.1545,1.92,148902.1931,2.88,169386.705,3.84,192327.4028,4.8,217967.9344,5.76,246569.3295,6.72,278410.3302,7.68
1/17/2024 2:58,Buy,42990.4,42986.96077,43399.63559,42393.74071,-1,9:38:00,0:00:00,12.83239506,112832.3951,127041.293,-2.76,142737.6423,-4.14,160036.5589,-5.52,179056.812,-6.9,199920.1894,-8.28,222750.7323,-9.66,247673.8298,-11.04
1/17/2024 22:58,Sell,42675.7,42679.11406,42269.39456,43268.08583,1,17:38:00,0:00:00,13.91558605,113915.5861,129480.4859,1.92,146848.4864,2.88,166181.9627,3.84,187651.539,4.8,211435.5923,5.76,237719.5815,6.72,266695.1799,7.68
