Date,Start Date,End Date,Total Trades,Wins,Losses,WinRate,Final NAV,monthly ROI,Daily Return,TP,SL,Entry Time Offset,Percentage Change
2/1/2024 4:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,1.12917012,0.012,0.011,70,0.0005
2/3/2024 0:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,1.12917012,0.012,0.011,70,0.0005
2/5/2024 8:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,-1.16922011,0.012,0.011,70,0.0005
2/7/2024 8:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,1.12917012,0.012,0.011,70,0.0005
2/8/2024 0:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,-0.053252474,0.012,0.011,70,0.0005
2/8/2024 16:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,-0.053252474,0.012,0.011,70,0.0005
2/9/2024 9:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,1.12917012,0.012,0.011,70,0.0005
2/10/2024 22:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,-1.16922011,0.012,0.011,70,0.0005
2/11/2024 21:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,1.12917012,0.012,0.011,70,0.0005
2/13/2024 0:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,1.12917012,0.012,0.011,70,0.0005
2/14/2024 0:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,-0.053252474,0.012,0.011,70,0.0005
2/14/2024 10:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,-0.053252474,0.012,0.011,70,0.0005
2/16/2024 0:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,-1.16922011,0.012,0.011,70,0.0005
2/17/2024 0:00,2/1/2024,3/1/2024,26,16,10,0.615384615,106379.624,6.379624029,-0.053252474,0.012,0.011,70,0.0005
