Date,Start Date,End Date,Total Trades,Wins,Losses,WinRate,Final NAV,Daily Return,Monthly ROI,TP,SL,Entry Time Offset,Percentage Change
2/1/2024 4:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0,,0.009,0.014,80,0.0004
2/3/2024 0:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0.82938009,,0.009,0.014,80,0.0004
2/5/2024 8:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0,,0.009,0.014,80,0.0004
2/7/2024 8:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0,,0.009,0.014,80,0.0004
2/8/2024 0:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,-1.46901014,,0.009,0.014,80,0.0004
2/8/2024 16:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,-1.46901014,,0.009,0.014,80,0.0004
2/9/2024 9:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0.82938009,,0.009,0.014,80,0.0004
2/10/2024 22:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0,,0.009,0.014,80,0.0004
2/11/2024 21:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0.82938009,,0.009,0.014,80,0.0004
2/13/2024 0:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0.82938009,,0.009,0.014,80,0.0004
2/14/2024 0:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,-0.651813728,,0.009,0.014,80,0.0004
2/14/2024 10:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,-0.651813728,,0.009,0.014,80,0.0004
2/16/2024 0:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,-0.632203885,,0.009,0.014,80,0.0004
2/17/2024 0:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,-0.651813728,,0.009,0.014,80,0.0004
2/17/2024 16:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,-0.651813728,,0.009,0.014,80,0.0004
2/18/2024 1:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,-0.651813728,,0.009,0.014,80,0.0004
2/18/2024 23:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,-0.651813728,,0.009,0.014,80,0.0004
2/19/2024 18:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0.82938009,,0.009,0.014,80,0.0004
2/21/2024 0:00,2/1/2024,3/1/2024,17,11,6,0.647058824,99552.90401,0,,0.009,0.014,80,0.0004
