Unnamed: 0,calculated_tp,Optimized TP,calculated_sl,Optimized SL,calculated_percentage_change,Percentage Change,tp_difference_rev,sl_difference_rev,percentage_change_difference_rev
118,0.001508,0.013,0.001181,0.006,0.0001,0.0006,0.011491999999999999,0.004819,0.0004999999999999999
119,0.002961,0.013,0.002316,0.008,0.000196,0.0001,0.010039,0.005684,-9.599999999999999e-05
120,0.000756,0.005,0.000593,0.007,5e-05,0.0006,0.004244,0.006407,0.0005499999999999999
121,0.001296,0.012,0.00103,0.009,8.8e-05,0.001,0.010704,0.00797,0.000912
122,0.000986,0.012,0.000764,0.013,6.4e-05,0.0006,0.011014,0.012235999999999999,0.0005359999999999999
123,0.00151,0.013,0.001228,0.013,0.000105,0.0007,0.01149,0.011772,0.000595
124,0.000849,0.013,0.000673,0.007,5.7e-05,0.0006,0.012150999999999999,0.006327,0.000543
125,0.002275,0.013,0.001825,0.013,0.000156,0.0006,0.010724999999999998,0.011175,0.00044399999999999995
126,0.002465,0.013,0.001902,0.007,0.00016,0.0008,0.010535,0.005098,0.00064
127,0.001385,0.003,0.001072,0.011,9e-05,0.0001,0.0016150000000000001,0.009928,9.999999999999999e-06
128,0.001261,0.012,0.00099,0.007,8.4e-05,0.0008,0.010739,0.00601,0.0007160000000000001
129,0.001361,0.013,0.001078,0.006,9.1e-05,0.001,0.011639,0.004922,0.000909
130,0.003068,0.013,0.002407,0.008,0.000203,0.0008,0.009932,0.005593000000000001,0.0005970000000000001
131,0.001782,0.013,0.00137,0.008,0.000116,0.0004,0.011217999999999999,0.0066300000000000005,0.000284
132,0.003981,0.007,0.003184,0.01,0.00027,0.0012,0.003019,0.006816,0.0009299999999999998
133,0.001688,0.005,0.0013,0.003,0.000109,0.0002,0.003312,0.0017000000000000001,9.1e-05
134,0.00086,0.005,0.000661,0.007,5.5e-05,0.0006,0.0041400000000000005,0.006339,0.0005449999999999999
135,0.000802,0.013,0.000622,0.005,5.3e-05,0.0006,0.012197999999999999,0.004378,0.000547
136,0.000967,0.009,0.000744,0.012,6.3e-05,0.0014,0.008032999999999998,0.011256,0.001337
137,0.002492,0.013,0.001947,0.012,0.000165,0.0011,0.010508,0.010053,0.0009350000000000001
138,0.004439,0.013,0.003519,0.011,0.000298,0.0007,0.008561,0.007481,0.000402
139,0.002174,0.013,0.001703,0.008,0.000144,0.0003,0.010825999999999999,0.0062970000000000005,0.00015599999999999997
140,0.002158,0.013,0.001664,0.011,0.00014,0.0013,0.010842,0.009335999999999999,0.00116
141,0.001007,0.013,0.000801,0.008,6.8e-05,0.0004,0.011993,0.0071990000000000005,0.00033200000000000005
142,0.001455,0.009,0.001125,0.013,9.5e-05,0.0012,0.007545,0.011875,0.0011049999999999999
143,0.00113,0.008,0.000881,0.013,7.5e-05,0.0011,0.00687,0.012119,0.001025
144,0.002985,0.013,0.002301,0.01,0.000193,0.0005,0.010015,0.007699,0.000307
145,0.00185,0.012,0.001482,0.007,0.000126,0.0004,0.01015,0.005518,0.00027400000000000005
146,0.001852,0.004,0.001478,0.007,0.000126,0.0013,0.002148,0.005522,0.001174
147,0.003905,0.005,0.003106,0.003,0.000262,0.0004,0.001095,-0.00010599999999999976,0.000138
148,0.002014,0.003,0.001653,0.011,0.000142,0.0012,0.000986,0.009347,0.001058
149,0.002216,0.012,0.001733,0.013,0.000146,0.0004,0.009784000000000001,0.011267,0.000254
150,0.001215,0.009,0.000992,0.004,8.5e-05,0.0001,0.007784999999999999,0.0030080000000000003,1.4999999999999999e-05
151,0.002308,0.013,0.001798,0.011,0.000151,0.0005,0.010692,0.009202,0.000349
152,0.000891,0.013,0.000717,0.01,6.1e-05,0.0006,0.012109,0.009283,0.000539
153,0.000796,0.013,0.000632,0.013,5.3e-05,0.0003,0.012204,0.012367999999999999,0.000247
154,0.000706,0.013,0.00056,0.01,4.8e-05,0.0005,0.012294,0.00944,0.00045200000000000004
155,0.001417,0.011,0.00113,0.007,9.6e-05,0.0001,0.009583,0.00587,4.000000000000002e-06
156,0.001826,0.005,0.001419,0.003,0.00012,0.0002,0.003174,0.0015810000000000002,8e-05
157,0.001534,0.006,0.001216,0.003,0.000103,0.0011,0.004466,0.001784,0.000997
158,0.001605,0.013,0.001239,0.009,0.000104,0.0009,0.011394999999999999,0.007760999999999999,0.0007959999999999999
159,0.001494,0.013,0.001177,0.013,9.9e-05,0.0002,0.011505999999999999,0.011823,0.00010100000000000002
160,0.002363,0.003,0.001902,0.003,0.000163,0.0004,0.000637,0.001098,0.00023700000000000001
161,0.001017,0.003,0.000802,0.013,6.8e-05,0.0008,0.0019830000000000004,0.012197999999999999,0.000732
162,0.000306,0.012,0.000243,0.007,2.1e-05,0.0006,0.011694,0.006757,0.000579
163,0.000893,0.008,0.000701,0.006,5.9e-05,0.0001,0.0071070000000000005,0.005299,4.100000000000001e-05
164,0.001079,0.012,0.000872,0.009,7.4e-05,0.0011,0.010921,0.008128,0.001026
165,0.000927,0.009,0.000738,0.01,6.3e-05,0.0011,0.008072999999999999,0.009262,0.0010370000000000002
166,0.012769,0.013,0.009808,0.009,0.000825,0.0005,0.00023099999999999857,-0.0008080000000000014,-0.000325
167,0.000532,0.012,0.000416,0.012,3.5e-05,0.0006,0.011468,0.011584,0.000565
168,0.000944,0.012,0.00073,0.011,6.2e-05,0.0001,0.011056,0.01027,3.8e-05
169,0.000875,0.013,0.000681,0.012,5.7e-05,0.0001,0.012124999999999999,0.011319000000000001,4.3e-05
170,0.00327,0.005,0.002585,0.007,0.000219,0.0014,0.0017300000000000002,0.0044150000000000005,0.001181
171,0.004681,0.006,0.00373,0.003,0.000319,0.0013,0.0013189999999999999,-0.0007299999999999997,0.0009809999999999999
172,0.002164,0.012,0.001735,0.013,0.000148,0.0003,0.009836000000000001,0.011264999999999999,0.00015199999999999998
173,0.003413,0.004,0.002688,0.006,0.000229,0.0011,0.0005870000000000003,0.0033120000000000003,0.000871
174,0.00056,0.007,0.00043,0.009,3.6e-05,0.0002,0.00644,0.00857,0.000164
175,0.000447,0.013,0.000356,0.011,3e-05,0.0004,0.012553,0.010643999999999999,0.00037
176,0.001062,0.013,0.000856,0.005,7.3e-05,0.001,0.011937999999999999,0.004144,0.000927
177,0.002645,0.013,0.002086,0.009,0.000177,0.0011,0.010355,0.006913999999999999,0.0009230000000000001
178,0.00303,0.011,0.002418,0.013,0.000206,0.0008,0.00797,0.010582,0.000594
179,0.001019,0.013,0.000802,0.01,6.7e-05,0.0011,0.011980999999999999,0.009198,0.001033
180,0.002269,0.013,0.001708,0.006,0.000143,0.0005,0.010731,0.004292,0.000357
181,0.000911,0.004,0.000714,0.012,6e-05,0.0012,0.003089,0.011286000000000001,0.00114
182,0.000789,0.012,0.00062,0.011,5.2e-05,0.0009,0.011211,0.010379999999999999,0.000848
183,0.001976,0.003,0.001537,0.005,0.00013,0.0007,0.0010240000000000002,0.003463,0.00057
184,0.000855,0.012,0.000685,0.011,5.9e-05,0.0014,0.011145,0.010315,0.001341
185,0.001843,0.012,0.001459,0.003,0.000124,0.0009,0.010157,0.001541,0.000776
186,0.002401,0.013,0.001932,0.008,0.000164,0.0004,0.010598999999999999,0.0060680000000000005,0.00023600000000000002
187,0.002132,0.013,0.001695,0.009,0.000144,0.0012,0.010868,0.007304999999999999,0.0010559999999999999
188,0.000563,0.013,0.000435,0.006,3.7e-05,0.0003,0.012437,0.0055650000000000005,0.000263
189,0.007403,0.008,0.005934,0.003,0.000505,0.0005,0.0005970000000000003,-0.002934,-5.000000000000013e-06
190,0.002037,0.013,0.001619,0.008,0.000137,0.0013,0.010962999999999999,0.006381,0.001163
191,0.001591,0.013,0.001261,0.012,0.000107,0.0004,0.011408999999999999,0.010739,0.000293
192,0.00767,0.005,0.00599,0.013,0.000507,0.0009,-0.0026699999999999996,0.00701,0.000393
193,0.000965,0.013,0.000761,0.006,6.4e-05,0.0003,0.012034999999999999,0.005239000000000001,0.000236
194,0.001251,0.01,0.000969,0.004,8.2e-05,0.0013,0.008749,0.003031,0.001218
195,0.001455,0.013,0.00116,0.005,9.8e-05,0.0002,0.011545,0.00384,0.00010200000000000001
196,0.002744,0.01,0.00213,0.009,0.00018,0.0003,0.007256,0.006869999999999999,0.00011999999999999996
197,0.003436,0.013,0.002752,0.011,0.000235,0.0004,0.009564,0.008247999999999998,0.00016500000000000003
198,0.002959,0.013,0.002343,0.005,0.000199,0.0014,0.010041,0.002657,0.001201
199,0.002204,0.006,0.001758,0.006,0.000149,0.001,0.0037960000000000003,0.004242,0.000851
200,0.002157,0.01,0.001662,0.003,0.00014,0.0006,0.007843,0.001338,0.00045999999999999996
201,0.000544,0.012,0.000414,0.01,3.5e-05,0.0005,0.011456000000000001,0.009586,0.000465
202,0.003674,0.007,0.002911,0.01,0.000246,0.0005,0.003326,0.007089,0.000254
203,0.003311,0.012,0.002679,0.007,0.000229,0.0003,0.008689,0.004321,7.099999999999996e-05
204,0.002674,0.013,0.002112,0.013,0.000178,0.0012,0.010325999999999998,0.010887999999999998,0.001022
205,0.002704,0.013,0.002088,0.008,0.000176,0.0011,0.010296,0.005912000000000001,0.0009240000000000001
206,0.001017,0.008,0.000831,0.012,7.1e-05,0.0002,0.0069830000000000005,0.011169,0.000129
207,0.001724,0.013,0.001344,0.011,0.000113,0.0008,0.011276,0.009656,0.000687
208,0.003435,0.003,0.002738,0.006,0.000232,0.0005,-0.00043500000000000006,0.003262,0.000268
209,0.002578,0.013,0.002046,0.011,0.000173,0.0001,0.010421999999999999,0.008954,-7.3e-05
210,0.001569,0.013,0.001228,0.005,0.000104,0.0005,0.011431,0.003772,0.00039600000000000003
211,0.003174,0.013,0.002519,0.005,0.000214,0.0003,0.009826,0.002481,8.599999999999998e-05
212,0.00169,0.013,0.001344,0.012,0.000114,0.001,0.011309999999999999,0.010656,0.0008860000000000001
213,0.00321,0.012,0.002505,0.004,0.000211,0.0007,0.00879,0.0014950000000000002,0.000489
214,0.002063,0.004,0.001641,0.005,0.000139,0.0007,0.001937,0.003359,0.000561
215,0.001865,0.003,0.001426,0.012,0.00012,0.0014,0.0011350000000000002,0.010574,0.0012799999999999999
216,0.001308,0.004,0.001029,0.003,8.7e-05,0.0003,0.002692,0.001971,0.00021299999999999997
217,0.001152,0.013,0.000878,0.008,7.3e-05,0.0002,0.011848,0.007122,0.000127
218,0.00096,0.01,0.000746,0.003,6.3e-05,0.0014,0.00904,0.002254,0.001337
219,0.004437,0.013,0.003549,0.003,0.000302,0.0013,0.008563,-0.000549,0.000998
220,0.002782,0.013,0.002159,0.009,0.000182,0.0006,0.010218,0.006841,0.00041799999999999997
221,0.001157,0.013,0.00089,0.013,7.5e-05,0.0002,0.011843,0.01211,0.000125
222,0.003143,0.013,0.002407,0.009,0.000203,0.001,0.009857,0.006593,0.000797
223,0.00837,0.008,0.006637,0.003,0.000563,0.0005,-0.00037000000000000054,-0.0036369999999999996,-6.300000000000001e-05
224,0.001578,0.004,0.001217,0.007,0.000102,0.0011,0.002422,0.005783,0.000998
225,0.001427,0.013,0.00115,0.005,9.8e-05,0.0007,0.011573,0.00385,0.000602
226,0.001998,0.013,0.001574,0.011,0.000133,0.0005,0.011002,0.009425999999999999,0.00036700000000000003
