Unnamed: 0,Date,Optimized TP,Optimized SL,Percentage Change,ROI,Trend_2,Trend_4,Trend_6,ATR_1,Trend_2_pct,Trend_4_pct,Trend_6_pct,ATR_1_pct
0,2024-01-01 01:00:00,0.007,0.008,0.0003,0.62952,11.549999999999272,-8.725000000000364,36.84999999999976,48.400000000001455,0.00027178005346182546,-0.00020530571138135717,0.0008671077896163492,0.0011388878430782317
1,2024-01-01 17:00:00,0.013,0.004,0.0003,1.2291,1.0499999999992724,-17.475000000000364,-12.583333333333334,63.099999999998545,2.452692238512109e-05,-0.00040819806540980666,-0.00029393375239332155,0.0014739512404782645
2,2024-01-02 23:00:00,0.012,0.008,0.0002,1.12917,31.049999999999272,-43.57500000000073,6.449999999999515,87.30000000000291,0.0006897133857707858,-0.0009679311041856102,0.00014327379511179834,0.0019391941570947831
3,2024-01-06 01:00:00,0.011,0.003,0.0001,-0.36978,4.600000000002183,-19.774999999999636,-0.9499999999995149,111.5,0.00010445429443399811,-0.00044903992878941184,-2.1572082546130534e-05,0.002531881267257666
4,2024-01-06 05:00:00,0.011,0.011,0.0004,1.02924,-42.85000000000218,-21.725000000000364,-24.650000000000244,81.79999999999563,-0.0009776475768714407,-0.0004956684622527731,-0.0005624040319691955,0.001866314394120782
5,2024-01-06 21:00:00,0.013,0.009,0.0014,1.2291,-8.899999999997817,15.149999999999636,-6.966666666665939,118.90000000000146,-0.00020306699613711397,0.0003456702237615682,-0.0001589550643919955,0.0027128838023268613
6,2024-01-07 05:00:00,0.013,0.012,0.0002,1.2291,7.849999999998545,33.024999999999636,15.083333333333334,73.39999999999418,0.0001783049446118641,0.0007501300376825272,0.0003426029190525837,0.0016672080171353139
7,2024-01-08 00:00:00,0.005,0.003,0.0009,-0.36978,105.54999999999927,-32.475000000000364,-25.733333333333576,164.90000000000146,0.0024092617912307725,-0.0007412674246349669,-0.0005873835789768473,0.0037639722347130333
8,2024-01-08 21:00:00,0.011,0.009,0.0008,1.02924,-9.5,-30.024999999999636,8.550000000000486,311.20000000000437,-0.00020262430467870183,-0.0006403994471555736,0.000182361874210842,0.0066375456437908304
9,2024-01-11 17:00:00,0.01,0.009,0.0007,0.92931,22.349999999998545,41.099999999998545,-160.78333333333407,366.29999999999563,0.0004830061785890719,0.0008882127042510713,-0.0034746909804989567,0.007916114685332726
10,2024-01-12 17:00:00,0.013,0.011,0.0009,1.2291,9.600000000002183,-191.5,-156.1999999999995,346.3000000000029,0.00022004772284994309,-0.00438949363809943,-0.0035803598238701236,0.007937763169054021
11,2024-01-14 02:00:00,0.013,0.008,0.0012,1.2291,-32.849999999998545,-1.875,-2.4333333333330907,67.0,-0.0007685558869976848,-4.386734514827163e-05,-5.6930065703529056e-05,0.0015675264666315729
12,2024-01-14 09:00:00,0.013,0.01,0.0004,1.2291,-17.350000000002183,-15.225000000000364,0.5833333333333334,96.5,-0.00040440439507167825,-0.0003548735974043616,1.3596689555722343e-05,0.002249280929360925
13,2024-01-15 01:00:00,0.003,0.008,0.0006,0.2298,-80.84999999999854,38.524999999999636,47.383333333333816,162.40000000000146,-0.0019158313784033208,0.0009128930594061666,0.0011228011974439899,0.003848250041468246
14,2024-01-15 17:00:00,0.003,0.003,0.0012,-0.36978,104.0,87.04999999999927,52.266666666666424,215.3000000000029,0.002435996533389549,0.0020389759445342158,0.0012242444116521778,0.00504298128498824
15,2024-01-15 23:00:00,0.013,0.009,0.0014,1.2291,-97.5,22.975000000000364,-36.84999999999976,110.80000000000291,-0.0022898074213245656,0.0005395725692813613,-0.0008654297792390738,0.002602160638797626
16,2024-01-16 17:00:00,0.008,0.012,0.0009,0.72945,-89.40000000000146,-12.450000000000728,-8.416666666666666,209.20000000000437,-0.0020755413471517364,-0.00028904350975436475,-0.00019540424688881613,0.004856859617719746
17,2024-01-17 21:00:00,0.013,0.006,0.0008,1.2291,-36.10000000000218,3.0499999999992724,2.383333333332606,116.09999999999854,-0.000845894832543336,7.1467568954471e-05,5.584624240704192e-05,0.0027204540182347407
18,2024-01-18 18:00:00,0.013,0.005,0.0001,1.2291,-178.54999999999927,-45.899999999999636,-102.71666666666715,587.5,-0.004300544342212998,-0.0011055445830723935,-0.0024740273295117093,0.014150488944554169
19,2024-01-19 05:00:00,0.012,0.004,0.0008,1.12917,21.299999999999272,27.350000000000364,24.78333333333406,144.39999999999418,0.0005174122585409283,0.000664376773290848,0.0006020281912757506,0.0035077150297328445
20,2024-01-20 01:00:00,0.013,0.009,0.0006,1.2291,27.0,-5.0,-10.016666666666424,131.09999999999854,0.0006492179328420116,-0.00012022554311889104,-0.00024085183804817254,0.003152313740577288
21,2024-01-20 09:00:00,0.008,0.011,0.0014,0.72945,0.5500000000029104,-23.07499999999891,-30.633333333332605,111.29999999999563,1.3236649635580844e-05,-0.0005553376187989042,-0.0007372412736384326,0.0026786165535132626
22,2024-01-21 16:00:00,0.013,0.011,0.0005,1.2291,-0.4000000000014552,-47.850000000000364,-27.816666666666908,86.80000000000291,-9.609240245454955e-06,-0.0011495053643583758,-0.0006682425820669213,0.002085205133256209
