TP_ATR_1_residual,TP_ATR_2_residual,TP_ATR_3_residual,TP_ATR_4_residual,TP_ATR_5_residual,TP_ATR_6_residual,TP_ATR_7_residual,TP_ATR_8_residual,TP_ATR_9_residual,TP_ATR_10_residual,TP_ATR_11_residual,TP_ATR_12_residual,TP_ATR_13_residual,TP_ATR_14_residual,TP_ATR_15_residual,TP_ATR_16_residual,TP_ATR_17_residual,TP_ATR_18_residual,TP_ATR_19_residual,TP_ATR_20_residual,TP_ATR_21_residual,TP_ATR_22_residual,TP_ATR_23_residual,TP_ATR_24_residual,TP_ATR_25_residual,TP_ATR_26_residual,TP_ATR_27_residual,TP_ATR_28_residual,TP_ATR_29_residual,TP_ATR_30_residual,TP_ATR_31_residual,TP_ATR_32_residual,TP_ATR_33_residual,TP_ATR_34_residual,TP_ATR_35_residual,TP_ATR_36_residual,TP_ATR_37_residual,TP_ATR_38_residual,TP_ATR_39_residual,TP_ATR_40_residual,TP_ATR_41_residual,TP_ATR_42_residual,TP_ATR_43_residual,TP_ATR_44_residual,TP_ATR_45_residual,TP_ATR_46_residual,TP_ATR_47_residual,TP_ATR_48_residual,TP_ATR_49_residual,TP_ATR_50_residual,TP_ATR_51_residual,TP_ATR_52_residual,TP_ATR_53_residual,TP_ATR_54_residual,TP_ATR_55_residual,TP_ATR_56_residual,TP_ATR_57_residual,TP_ATR_58_residual,TP_ATR_59_residual,TP_ATR_60_residual,SL_ATR_1_residual,SL_ATR_2_residual,SL_ATR_3_residual,SL_ATR_4_residual,SL_ATR_5_residual,SL_ATR_6_residual,SL_ATR_7_residual,SL_ATR_8_residual,SL_ATR_9_residual,SL_ATR_10_residual,SL_ATR_11_residual,SL_ATR_12_residual,SL_ATR_13_residual,SL_ATR_14_residual,SL_ATR_15_residual,SL_ATR_16_residual,SL_ATR_17_residual,SL_ATR_18_residual,SL_ATR_19_residual,SL_ATR_20_residual,SL_ATR_21_residual,SL_ATR_22_residual,SL_ATR_23_residual,SL_ATR_24_residual,SL_ATR_25_residual,SL_ATR_26_residual,SL_ATR_27_residual,SL_ATR_28_residual,SL_ATR_29_residual,SL_ATR_30_residual,SL_ATR_31_residual,SL_ATR_32_residual,SL_ATR_33_residual,SL_ATR_34_residual,SL_ATR_35_residual,SL_ATR_36_residual,SL_ATR_37_residual,SL_ATR_38_residual,SL_ATR_39_residual,SL_ATR_40_residual,SL_ATR_41_residual,SL_ATR_42_residual,SL_ATR_43_residual,SL_ATR_44_residual,SL_ATR_45_residual,SL_ATR_46_residual,SL_ATR_47_residual,SL_ATR_48_residual,SL_ATR_49_residual,SL_ATR_50_residual,SL_ATR_51_residual,SL_ATR_52_residual,SL_ATR_53_residual,SL_ATR_54_residual,SL_ATR_55_residual,SL_ATR_56_residual,SL_ATR_57_residual,SL_ATR_58_residual,SL_ATR_59_residual,SL_ATR_60_residual,PC_ATR_1_residual,PC_ATR_2_residual,PC_ATR_3_residual,PC_ATR_4_residual,PC_ATR_5_residual,PC_ATR_6_residual,PC_ATR_7_residual,PC_ATR_8_residual,PC_ATR_9_residual,PC_ATR_10_residual,PC_ATR_11_residual,PC_ATR_12_residual,PC_ATR_13_residual,PC_ATR_14_residual,PC_ATR_15_residual,PC_ATR_16_residual,PC_ATR_17_residual,PC_ATR_18_residual,PC_ATR_19_residual,PC_ATR_20_residual,PC_ATR_21_residual,PC_ATR_22_residual,PC_ATR_23_residual,PC_ATR_24_residual,PC_ATR_25_residual,PC_ATR_26_residual,PC_ATR_27_residual,PC_ATR_28_residual,PC_ATR_29_residual,PC_ATR_30_residual,PC_ATR_31_residual,PC_ATR_32_residual,PC_ATR_33_residual,PC_ATR_34_residual,PC_ATR_35_residual,PC_ATR_36_residual,PC_ATR_37_residual,PC_ATR_38_residual,PC_ATR_39_residual,PC_ATR_40_residual,PC_ATR_41_residual,PC_ATR_42_residual,PC_ATR_43_residual,PC_ATR_44_residual,PC_ATR_45_residual,PC_ATR_46_residual,PC_ATR_47_residual,PC_ATR_48_residual,PC_ATR_49_residual,PC_ATR_50_residual,PC_ATR_51_residual,PC_ATR_52_residual,PC_ATR_53_residual,PC_ATR_54_residual,PC_ATR_55_residual,PC_ATR_56_residual,PC_ATR_57_residual,PC_ATR_58_residual,PC_ATR_59_residual,PC_ATR_60_residual
0.010060806,0.009104025,0.009333702,0.009380094,0.00803804,0.007765093,0.009230489,0.010077792,0.009130897,0.009197569,0.009235111,0.009206505,0.009082438,0.009027104,0.009017022,0.010200984,0.010242154,0.010309426,0.010351963,0.010352143,0.010333836,0.01034955,0.010380962,0.009582737,0.009433651,0.009215103,0.010042166,0.009924683,0.008149941,0.008668937,0.008711526,0.008722317,0.008686124,0.008634653,0.008586526,0.009006017,0.009022768,0.009087844,0.009115036,0.009170568,0.008573555,0.008604409,0.008652834,0.008693454,0.008741558,0.008784814,0.008840171,0.008882359,0.008924646,0.008920432,0.008939178,0.00897861,0.009015093,0.009046092,0.009078697,0.009115463,0.00914068,0.009164178,0.009181704,0.009204752,0.002526049,0.004583607,0.006227351,0.005763991,0.005056304,0.00529122,0.005356153,0.005122779,0.005000353,0.004331322,0.004438302,0.005969776,0.006043682,0.006096924,0.006087244,0.006200984,0.006242154,0.004949632,0.004996858,0.005001242,0.005044203,0.005070102,0.005108788,0.00513425,0.006421551,0.008165691,0.005229212,0.005243542,0.003148529,0.003195108,0.003054457,0.006550005,0.00655324,0.005290504,0.005288317,0.002698253,0.002731078,0.002801459,0.005277252,0.005258257,0.005277952,0.005310492,0.005334022,0.00565324,0.005557761,0.006654413,0.006678589,0.006701284,0.006710805,0.006715975,0.006720138,0.006689521,0.006684683,0.006695997,0.006690346,0.006637187,0.006631005,0.006596162,0.006825058,0.00681741,-0.001739194,-0.001256876,-0.003591758,-0.001936009,-0.002643696,-0.00240878,-0.002343847,-0.002577221,-0.002699647,-0.002392822,-0.002306437,-0.003247455,-0.002281167,-0.00305229,-0.002981597,-0.002905034,-0.002034386,-0.002750368,-0.002703142,-0.002698758,-0.002081392,-0.002079218,-0.00206403,-0.002035508,-0.002014874,-0.001986754,-0.001955093,-0.002456458,-0.002423075,-0.002437959,-0.002392828,-0.00241758,-0.0023932,-0.002409496,-0.002411683,-0.002381263,-0.002392743,-0.002394579,-0.002422748,-0.002441743,-0.002422048,-0.003123377,-0.003129888,-0.0031248,-0.003112889,-0.003113946,-0.003152774,-0.003133896,-0.00318931,-0.003235252,-0.003251969,-0.00262139,-0.002584907,-0.002553908,-0.002521303,-0.002484537,-0.00231201,-0.002289599,-0.002286068,-0.002280303
0.009133686,0.008583607,0.008455756,0.00897497,0.009428919,0.00787886,0.007965779,0.009235215,0.010102302,0.00994464,0.009937609,0.009969776,0.010043682,0.010096924,0.010087244,0.009805927,0.009771899,0.00974803,0.009715205,0.00963997,0.009711488,0.009629308,0.009622024,0.009143766,0.009052563,0.010080617,0.009779576,0.009791409,0.008700588,0.00898899,0.00900341,0.009054492,0.009083946,0.009103329,0.008955906,0.008569392,0.008625017,0.008673405,0.008744941,0.008820006,0.009213676,0.009243517,0.009227123,0.009261266,0.009286394,0.009308596,0.009351789,0.009398747,0.009412419,0.009449397,0.009476196,0.009491781,0.009494663,0.009499738,0.009510039,0.00953717,0.009541068,0.009571577,0.009575306,0.009604686,0.002362454,0.005858726,0.004208242,0.006558062,0.00381374,0.005831166,0.003965779,0.006025867,0.006102302,0.004573744,0.004687476,0.00590782,0.00587745,0.005894033,0.005897331,0.006341362,0.006181206,0.005695242,0.005743772,0.005762648,0.004209018,0.00634955,0.006380962,0.006427343,0.005708323,0.007924996,0.004598786,0.004654315,0.003793437,0.003913241,0.003749812,0.006801715,0.006830001,0.005520858,0.005516891,0.002972539,0.0030616,0.003139489,0.005278155,0.005266655,0.005212576,0.005763412,0.00572645,0.00639322,0.006410807,0.005583245,0.005573796,0.006392775,0.006425097,0.006443884,0.006472999,0.006474544,0.006481228,0.00651101,0.006517936,0.006893681,0.006872448,0.006844686,0.006587753,0.006579244,-0.002431881,-0.001495975,-0.002807311,-0.002182475,-0.002127465,-0.002183838,-0.002687946,-0.002622208,-0.00247842,-0.001402431,-0.001364889,-0.003805682,-0.001517562,-0.003088643,-0.002948123,-0.002825311,-0.001714602,-0.002607309,-0.002313365,-0.002343741,-0.001899267,-0.00197365,-0.00199147,-0.002058759,-0.002300361,-0.001142725,-0.001134323,-0.002474844,-0.002450059,-0.002524881,-0.002516273,-0.002547915,-0.002742535,-0.002261129,-0.002247272,-0.002264911,-0.001810199,-0.001798128,-0.001780566,-0.001771123,-0.001774904,-0.002995591,-0.002947166,-0.002906546,-0.002858442,-0.002815186,-0.002759829,-0.002717641,-0.002675354,-0.002679568,-0.002660822,-0.003187684,-0.003152304,-0.003144416,-0.003113304,-0.003128575,-0.00245932,-0.002297013,-0.002293767,-0.002282944
0.010287116,0.009223464,0.009404032,0.009020628,0.009605815,0.009445879,0.009678013,0.010025867,0.009779143,0.009788646,0.009692255,0.008855644,0.00889316,0.009742619,0.009761699,0.010107007,0.010181206,0.009760456,0.009664311,0.009442166,0.00912931,0.009169068,0.01010534,0.010120073,0.01009678,0.00997001,0.009972697,0.009970353,0.008960567,0.008182812,0.008219485,0.008288264,0.008391192,0.008463909,0.008526759,0.009496232,0.009486142,0.0094722,0.009475966,0.009429118,0.008866677,0.008936415,0.008987339,0.009024616,0.009045678,0.009097607,0.009145789,0.009183884,0.009213592,0.009256804,0.009269985,0.009305819,0.009350299,0.009395985,0.009429281,0.009473302,0.009503102,0.009545703,0.009377347,0.009378467,0.003062237,0.005158923,0.006331871,0.006228929,0.003248456,0.005956367,0.003749805,0.005800199,0.00576673,0.003976199,0.004276565,0.006470455,0.006471564,0.006463241,0.006344138,0.006702078,0.006494288,0.004934105,0.005194434,0.00531555,0.00512931,0.005741124,0.00572256,0.005738785,0.006157932,0.008080617,0.004659947,0.004500473,0.002823549,0.002846869,0.004105657,0.006023047,0.006030369,0.004634653,0.005128323,0.002576126,0.002627849,0.002657364,0.005147588,0.005162983,0.005184388,0.005597109,0.005480507,0.006318317,0.006154032,0.006374482,0.006359402,0.006204218,0.006245796,0.006267439,0.006296796,0.006296552,0.006311133,0.006332978,0.006339298,0.006522565,0.006519883,0.00652257,0.006734202,0.006731284,-0.002863972,-0.001273003,-0.002001149,-0.002733323,-0.00286196,-0.004034907,-0.002971021,-0.003085572,-0.001469103,-0.00165536,-0.001662391,-0.003429291,-0.001556318,-0.003527105,-0.003332047,-0.003174985,-0.001357846,-0.002978411,-0.002579731,-0.002550346,-0.001266164,-0.00125045,-0.001219038,-0.001172657,-0.001178449,-0.002253812,-0.00230241,-0.002337154,-0.002283267,-0.002281127,-0.002294657,-0.002269154,-0.002276171,-0.00234388,-0.002372631,-0.002449431,-0.002392098,-0.002377382,-0.00235917,-0.002367478,-0.002360367,-0.002956483,-0.002972877,-0.002938734,-0.002913606,-0.002891404,-0.002848211,-0.002801253,-0.003304859,-0.003267241,-0.003224407,-0.002708219,-0.002705337,-0.002700262,-0.002689961,-0.00266283,-0.003075942,-0.002435822,-0.002418296,-0.002395248
0.010397839,0.008564666,0.009775551,0.009963103,0.009219951,0.007585095,0.008593963,0.009566628,0.010111473,0.010191397,0.010080108,0.009755255,0.00968906,0.010157958,0.010121032,0.009893313,0.010149246,0.010194727,0.010201713,0.010311191,0.010167942,0.010126681,0.010179908,0.010145068,0.010066755,0.009986419,0.010050074,0.010044937,0.008187629,0.008663136,0.008527155,0.008386009,0.008341603,0.009077355,0.009492164,0.008987987,0.00944672,0.009467836,0.009379768,0.00941423,0.009373001,0.008545962,0.008619058,0.008693716,0.008765639,0.008832826,0.008894716,0.008949898,0.009003802,0.009052446,0.009093704,0.009142192,0.009179524,0.009226307,0.009264313,0.009298104,0.009341727,0.009367419,0.008734202,0.008731284,0.00415175,0.004564666,0.004200407,0.005963103,0.003146078,0.006320121,0.004319917,0.005031033,0.004947906,0.003803437,0.004924414,0.005775638,0.005861749,0.005891839,0.005904164,0.006433496,0.00646876,0.005760456,0.005664311,0.005442166,0.003978462,0.005690747,0.005868462,0.005984838,0.005978406,0.008070467,0.004427556,0.004405412,0.003121472,0.003038873,0.003044894,0.006088611,0.006042167,0.005137938,0.006047229,0.002832978,0.002795392,0.002861537,0.005785983,0.00579434,0.005765556,0.005244279,0.00637882,0.005929468,0.00593695,0.006171849,0.006173056,0.005906299,0.005886774,0.005891619,0.005871342,0.005856403,0.005845984,0.005802754,0.006032426,0.006343306,0.006353893,0.006352954,0.006530452,0.006513171,-0.001849281,-0.001654654,-0.003399593,-0.00191058,-0.001994185,-0.00302114,-0.002182287,-0.001740313,-0.001497698,-0.001586229,-0.001898155,-0.003289612,-0.001914499,-0.002712763,-0.002820917,-0.002778458,-0.002068194,-0.003077846,-0.002879924,-0.002803584,-0.00226501,-0.002250841,-0.00223188,-0.00223655,-0.002269467,-0.002231435,-0.002187314,-0.002358713,-0.00229317,-0.002405174,-0.002369242,-0.002337553,-0.002330126,-0.002122765,-0.002107668,-0.00208326,-0.002408999,-0.002384811,-0.002397975,-0.002377326,-0.0023804,-0.002978362,-0.002968866,-0.002948576,-0.002962451,-0.002912322,-0.00289177,-0.002844267,-0.002787581,-0.002750603,-0.002723804,-0.002741229,-0.002734468,-0.002707862,-0.00268567,-0.002720938,-0.002658932,-0.003058547,-0.00303218,-0.0030029
0.010279546,0.008563739,0.008526638,0.008852762,0.00915399,0.009607438,0.008749805,0.010099223,0.0101004,0.010145913,0.009756605,0.010071731,0.010156439,0.009891839,0.009904164,0.009079576,0.009819957,0.009863512,0.009880524,0.010162385,0.010166844,0.010197706,0.009925805,0.009928463,0.009978406,0.010007654,0.009129527,0.009229646,0.0086831,0.008434475,0.009146544,0.009113517,0.009084001,0.009036967,0.009086752,0.00899865,0.009026513,0.009057655,0.009051152,0.009484093,0.009438077,0.009269479,0.009207386,0.009211577,0.00920197,0.009165213,0.009181539,0.009208899,0.009221079,0.009197217,0.009128735,0.009103424,0.009032479,0.009021055,0.00892269,0.008893681,0.008872448,0.008844686,0.009442211,0.009429781,0.003279546,0.004627599,0.005775551,0.006852762,0.003771592,0.006258457,0.00436357,0.004977347,0.006553277,0.004242657,0.005481466,0.005724175,0.005694696,0.006733863,0.006704701,0.007379707,0.00744458,0.005137342,0.005154079,0.00512306,0.00444509,0.005169068,0.005123406,0.005143766,0.006294246,0.007632185,0.005083462,0.005118237,0.003693491,0.003558608,0.003625915,0.006222463,0.006254691,0.004796157,0.004765571,0.002851322,0.002840314,0.002842083,0.005959078,0.005783244,0.005665102,0.006347245,0.006372785,0.00603365,0.005673869,0.005931712,0.005932033,0.005641042,0.005693892,0.005764277,0.005834881,0.005870061,0.005911415,0.005978556,0.00598106,0.006072339,0.006117853,0.006155101,0.006365324,0.006377218,-0.00324825,-0.002439941,-0.001795968,-0.00322503,-0.001887626,-0.00224553,-0.003634221,-0.002251093,-0.001489417,-0.001911748,-0.00181898,-0.002744356,-0.001793161,-0.002457381,-0.002438301,-0.002394073,-0.001758652,-0.00245197,-0.003180851,-0.00256003,-0.001694778,-0.001058876,-0.00107744,-0.002273735,-0.002249685,-0.001197632,-0.00118933,-0.002945685,-0.002307803,-0.002267704,-0.002225356,-0.002176359,-0.002148005,-0.002965347,-0.002771677,-0.00283433,-0.002062893,-0.002075774,-0.002058085,-0.002041515,-0.001696183,-0.003530521,-0.002757504,-0.002731923,-0.002765976,-0.002763317,-0.0028012,-0.00284101,-0.002822022,-0.002796076,-0.002772615,-0.002981749,-0.003220476,-0.003173693,-0.003135687,-0.003101896,-0.002702315,-0.002628423,-0.002592396,-0.002562842
0.009847686,0.009422004,0.00943328,0.009352722,0.009959256,0.009152208,0.008319917,0.008737462,0.009685217,0.009665452,0.009217851,0.009775638,0.009861749,0.009184058,0.009133941,0.009702078,0.009099037,0.009173444,0.010363131,0.009892855,0.009918857,0.009948122,0.010008123,0.010014451,0.010028129,0.009126151,0.009314795,0.010204367,0.008515504,0.009154016,0.009093202,0.009088611,0.009042167,0.009295056,0.009003731,0.009258557,0.008991,0.008989611,0.008959078,0.009055669,0.009449879,0.009452396,0.009468567,0.009486464,0.00950674,0.009525683,0.009509999,0.009534996,0.009530905,0.009530479,0.00952876,0.009515676,0.009505217,0.009492499,0.009479867,0.009471512,0.009461025,0.009438904,0.009573858,0.009592898,0.004076691,0.00540797,0.00443328,0.004618035,0.003929751,0.005038357,0.004824442,0.005550317,0.005067578,0.00482346,0.004878124,0.006991609,0.006873839,0.00633349,0.006314109,0.007276326,0.007333922,0.005863512,0.005880524,0.005892855,0.005070173,0.005097051,0.0050706,0.005928463,0.006149864,0.007502391,0.005050074,0.005044937,0.00280016,0.002820976,0.004253146,0.006711933,0.006692236,0.005380993,0.006003731,0.003435247,0.003470418,0.003491183,0.00523028,0.005250877,0.005232767,0.006468655,0.005931799,0.006123814,0.006172577,0.005636378,0.005551551,0.005687811,0.005741272,0.005803679,0.005698248,0.005735021,0.00580175,0.005905842,0.006204499,0.006006107,0.006038059,0.006111546,0.006162596,0.006196271,-0.001920454,-0.001976536,-0.002624449,-0.002179372,-0.002980049,-0.004014905,-0.002521987,-0.002633372,-0.001800592,-0.002711414,-0.002507745,-0.002502248,-0.001928436,-0.002348372,-0.002419292,-0.002462521,-0.002218794,-0.00235724,-0.002484795,-0.002535973,-0.001246022,-0.001676691,-0.001685006,-0.001061215,-0.001091677,-0.001675004,-0.001689833,-0.003205113,-0.002899412,-0.002931063,-0.002888474,-0.002877683,-0.002913876,-0.003045599,-0.002363649,-0.002333494,-0.002823222,-0.002797859,-0.001790012,-0.001809513,-0.001997017,-0.002727551,-0.003430454,-0.003424275,-0.002760494,-0.002818922,-0.002995429,-0.003002591,-0.002860289,-0.0029422,-0.002956416,-0.003131369,-0.003030893,-0.003021309,-0.002980755,-0.002953708,-0.003058273,-0.002681926,-0.00265635,-0.002645806
0.009920322,0.009598107,0.008584167,0.010237603,0.009262907,0.009666064,0.009433857,0.01005906,0.009074226,0.009245112,0.010097123,0.009271277,0.009345558,0.009733863,0.009704701,0.009684746,0.009494288,0.009496676,0.009230619,0.010152939,0.010038317,0.010043347,0.009217284,0.009152735,0.009071088,0.00929324,0.010189741,0.009718123,0.009159425,0.009142622,0.009076996,0.008988083,0.009340288,0.008932369,0.009264866,0.008972074,0.009277242,0.009564694,0.009543503,0.008783244,0.00905956,0.009394334,0.009369546,0.009375725,0.009557761,0.009302992,0.009309019,0.0093387,0.009536826,0.009551246,0.009482844,0.00950749,0.009524328,0.009534048,0.009545373,0.009558218,0.009573105,0.009587124,0.009553125,0.009540952,0.003497695,0.004563739,0.004584167,0.005052573,0.00449801,0.005343909,0.005433857,0.005825039,0.005685217,0.004742739,0.004266638,0.006532613,0.00638193,0.007286975,0.006506459,0.006506132,0.006458593,0.005461089,0.005363131,0.005152939,0.005038317,0.005948122,0.005925805,0.006268941,0.006669844,0.008403804,0.005174029,0.005183269,0.003360748,0.003339239,0.003330015,0.005904789,0.00727167,0.005947308,0.005369377,0.003258557,0.003277242,0.003286892,0.00628965,0.006312598,0.006328408,0.005929903,0.005378443,0.005648054,0.005682667,0.006218819,0.005624423,0.006186176,0.006209557,0.006222955,0.006233022,0.006258651,0.006242697,0.006241466,0.005855237,0.006166845,0.006188229,0.006207469,0.006183871,0.00624828,-0.002707715,-0.002105075,-0.00203764,-0.002436897,-0.00204601,-0.002592562,-0.002606037,-0.002848303,-0.002474035,-0.002411354,-0.00196299,-0.002488509,-0.001497798,-0.002409101,-0.002315889,-0.002216254,-0.001404043,-0.002639544,-0.002503154,-0.002957834,-0.002019462,-0.001254997,-0.001246897,-0.001682527,-0.001682485,-0.001230402,-0.001186511,-0.002444671,-0.003239433,-0.00321101,-0.00319659,-0.003145508,-0.003116054,-0.002762062,-0.002505009,-0.002480044,-0.002334386,-0.002283517,-0.002752412,-0.002211844,-0.001812487,-0.003405666,-0.002687106,-0.002730173,-0.002681516,-0.002617128,-0.00255274,-0.002499085,-0.002991824,-0.003009763,-0.003089445,-0.003096156,-0.003130234,-0.002395753,-0.002403496,-0.002371397,-0.002926986,-0.003032581,-0.003022653,-0.002838068
0.009150871,0.009464948,0.008926698,0.009175802,0.008771592,0.008792911,0.009169818,0.009550317,0.010089089,0.01015149,0.009566348,0.009991609,0.009873839,0.009493024,0.009644566,0.009433496,0.009766334,0.009862238,0.009320291,0.009277404,0.00911009,0.009179338,0.009334972,0.009268941,0.009294246,0.010171416,0.009691849,0.009736605,0.009116033,0.009197428,0.009195154,0.009190944,0.008945125,0.009081858,0.008966429,0.009084227,0.008908312,0.009286892,0.00920818,0.009494067,0.008665102,0.009028062,0.009036857,0.008991732,0.009327492,0.008965377,0.009004538,0.009025973,0.009361766,0.009402755,0.009419853,0.009435529,0.009441954,0.00946988,0.009488406,0.009509777,0.009519017,0.00955457,0.009181946,0.009183989,0.003561974,0.004613237,0.004646726,0.005175802,0.005134845,0.005919466,0.005188887,0.005193152,0.005695733,0.003840902,0.004950841,0.006496173,0.006518867,0.006515508,0.006328026,0.006469589,0.006725956,0.005317302,0.005206248,0.004884528,0.004940595,0.005043347,0.005008123,0.006091207,0.006169272,0.00784033,0.004258372,0.004283319,0.003812019,0.003716284,0.003670153,0.006043384,0.005932422,0.005214232,0.005966101,0.002260024,0.002369455,0.00241849,0.005964924,0.005925385,0.005940529,0.005329064,0.006067087,0.006304813,0.006307643,0.005738982,0.006161669,0.005793705,0.005818056,0.005816323,0.005808043,0.005803844,0.005818841,0.005842326,0.006853882,0.005845984,0.005820057,0.006768684,0.00618871,0.00621661,-0.002552314,-0.001677694,-0.00236672,-0.00206867,-0.002440744,-0.002141543,-0.001907218,-0.001840579,-0.002420857,-0.002666176,-0.001535412,-0.003687299,-0.002105837,-0.00348332,-0.002795144,-0.002847427,-0.002185042,-0.003410238,-0.002735689,-0.003198985,-0.00208991,-0.001967923,-0.001917199,-0.001267299,-0.001255416,-0.001813368,-0.0017774,-0.003222703,-0.0025169,-0.002536864,-0.002672845,-0.002813991,-0.002858397,-0.002405798,-0.002113248,-0.002212013,-0.002450604,-0.002467308,-0.002245994,-0.002462279,-0.002171727,-0.002655721,-0.002780469,-0.002719772,-0.003327423,-0.003281181,-0.003338331,-0.003313824,-0.002455618,-0.003277045,-0.003266978,-0.003142014,-0.003081159,-0.003115763,-0.003083953,-0.003053625,-0.002324645,-0.002886644,-0.00287349,-0.002275686
0.010297144,0.009316019,0.010015558,0.01002666,0.009915995,0.00810223,0.008011836,0.009063093,0.009805916,0.008742739,0.009000126,0.009110822,0.009351718,0.00933349,0.009314109,0.009379707,0.00946876,0.009516812,0.009905458,0.00935239,0.009327077,0.009261659,0.010048158,0.010091207,0.010149864,0.009687494,0.009704405,0.009786879,0.009209376,0.009278317,0.009297613,0.009279446,0.009064763,0.009281605,0.009121349,0.009245908,0.008909576,0.008875804,0.008814014,0.009044147,0.009496561,0.008597109,0.009372785,0.009318317,0.00900505,0.009171849,0.009173056,0.009204218,0.00905289,0.009078107,0.009106,0.009129945,0.009157218,0.009179366,0.009202974,0.009201302,0.009194223,0.009199132,0.009365324,0.009377218,0.002567469,0.004099254,0.004845653,0.005905859,0.003413225,0.006927185,0.005361577,0.005189173,0.005370814,0.004286122,0.005131533,0.005673877,0.00577761,0.006069654,0.006097385,0.006105104,0.006157172,0.005862238,0.005905458,0.005938522,0.003971757,0.006261659,0.006334972,0.006632687,0.006228523,0.007083656,0.004762007,0.004650632,0.002932361,0.004223294,0.004201058,0.006906475,0.005971087,0.004875127,0.005079317,0.002739919,0.002738651,0.00284745,0.005184902,0.005276628,0.005345308,0.006097751,0.006086344,0.006308041,0.006315514,0.006333353,0.005784706,0.006276278,0.006226849,0.006194169,0.00611292,0.006825528,0.006829855,0.006854918,0.00598344,0.00682857,0.006739594,0.006306497,0.006774515,0.00678916,-0.001585205,-0.001641077,-0.003056532,-0.002447278,-0.001959966,-0.003233936,-0.002967655,-0.001761475,-0.002824315,-0.001994708,-0.002533455,-0.002936079,-0.002105304,-0.002793779,-0.002702587,-0.002691791,-0.002153442,-0.002762658,-0.003310869,-0.002488809,-0.001158137,-0.002020662,-0.001982716,-0.001893092,-0.001863588,-0.002073849,-0.002070473,-0.002875317,-0.003152452,-0.003138611,-0.003077939,-0.003074931,-0.003074827,-0.003003843,-0.002530623,-0.002553083,-0.002173487,-0.002142345,-0.002475431,-0.002144331,-0.001751552,-0.00341899,-0.003413656,-0.003376186,-0.003217333,-0.003161018,-0.003115294,-0.003106295,-0.003290443,-0.003083677,-0.003091957,-0.002962957,-0.003208248,-0.003057674,-0.003044763,-0.003054016,-0.002355035,-0.002304252,-0.002289018,-0.002392597
0.010381192,0.008741522,0.010225591,0.010149466,0.009213397,0.009343909,0.009361577,0.009189173,0.009722482,0.009790317,0.009878626,0.009532613,0.00938193,0.009408729,0.009426945,0.010044202,0.00944458,0.010346555,0.009536015,0.009938522,0.009986655,0.010001023,0.009632021,0.009632687,0.009669844,0.009632185,0.009815192,0.009306117,0.009221914,0.009278632,0.009123162,0.009032193,0.009291222,0.008927353,0.009301683,0.008747329,0.009229668,0.008950756,0.008954868,0.008663158,0.009029439,0.009468655,0.008805865,0.008752115,0.009154032,0.008778461,0.008778564,0.008750197,0.009245796,0.009267439,0.009296796,0.009296552,0.009311133,0.009332978,0.009339298,0.009343306,0.009353893,0.009352954,0.008630294,0.008664335,0.002297144,0.005712841,0.004926698,0.005059886,0.004328535,0.005197764,0.004468678,0.005211054,0.006512336,0.005129045,0.005146853,0.006496157,0.005791944,0.005969312,0.007236562,0.007337029,0.007298506,0.005661415,0.005773854,0.005905061,0.004182317,0.004945046,0.004999348,0.006183032,0.006054711,0.007227459,0.004276064,0.004306117,0.002700912,0.003143744,0.003344043,0.007114896,0.006629412,0.005544611,0.004791234,0.002648159,0.002682061,0.00269451,0.006282073,0.006343692,0.006068741,0.006060206,0.00561588,0.006098055,0.006108401,0.006351492,0.006342134,0.006341391,0.006356509,0.006356672,0.006316786,0.006057986,0.005991752,0.006016635,0.006221793,0.005918383,0.005856604,0.005966298,0.006320625,0.006291842,-0.001879678,-0.001951047,-0.001774784,-0.002943643,-0.003637093,-0.003007089,-0.003050195,-0.002800777,-0.001846723,-0.001578238,-0.001931905,-0.002800038,-0.001854442,-0.002766864,-0.002795299,-0.002797922,-0.002235528,-0.002844973,-0.002297486,-0.00277694,-0.001913345,-0.001307798,-0.00131784,-0.002047265,-0.002128912,-0.001353466,-0.001380061,-0.002781763,-0.002983378,-0.002948807,-0.002997202,-0.003069041,-0.00308686,-0.002531196,-0.002150677,-0.002164753,-0.002645079,-0.002648679,-0.002148848,-0.001830058,-0.002425634,-0.002820237,-0.00328412,-0.003251946,-0.003325295,-0.003292501,-0.003290009,-0.003304109,-0.003081944,-0.003005831,-0.00308708,-0.002769759,-0.002942668,-0.003183365,-0.002978207,-0.002949804,-0.00301782,-0.002384469,-0.002386499,-0.002949446
