Unnamed: 0,Date,Optimized TP,Optimized SL,Percentage Change,ROI,Trend_2,Trend_4,Trend_6,ATR_1,Trend_2_pct,Trend_4_pct,Trend_6_pct,ATR_1_pct,tp_atr_difference,sl_atr_difference,percentage_change_atr_difference
0,2024-01-01 01:00:00,0.007,0.008,0.0003,0.62952,11.549999999999272,-8.725000000000364,36.84999999999976,48.400000000001455,0.0002717800534618,-0.0002053057113813,0.0008671077896163,0.0011388878430782,0.0058611121569218,0.0068611121569218,-0.0008388878430782001
1,2024-01-01 17:00:00,0.013,0.004,0.0003,1.2291,1.0499999999992724,-17.475000000000364,-12.583333333333334,63.09999999999855,2.452692238512109e-05,-0.0004081980654098,-0.0002939337523933,0.0014739512404782,0.0115260487595218,0.0025260487595218,-0.0011739512404782002
2,2024-01-02 23:00:00,0.012,0.008,0.0002,1.12917,31.049999999999272,-43.57500000000073,6.449999999999515,87.30000000000291,0.0006897133857707,-0.0009679311041856,0.0001432737951117,0.0019391941570947,0.0100608058429053,0.0060608058429053,-0.0017391941570947
3,2024-01-06 01:00:00,0.011,0.003,0.0001,-0.36978,4.600000000002183,-19.77499999999964,-0.9499999999995148,111.5,0.0001044542944339,-0.0004490399287894,-2.157208254613053e-05,0.0025318812672576,0.0084681187327424,0.0004681187327424002,-0.0024318812672576
4,2024-01-06 05:00:00,0.011,0.011,0.0004,1.02924,-42.85000000000218,-21.725000000000364,-24.650000000000244,81.79999999999563,-0.0009776475768714,-0.0004956684622527,-0.0005624040319691,0.0018663143941207,0.009133685605879299,0.009133685605879299,-0.0014663143941207
5,2024-01-06 21:00:00,0.013,0.009,0.0014,1.2291,-8.899999999997817,15.149999999999636,-6.966666666665939,118.90000000000146,-0.0002030669961371,0.0003456702237615,-0.0001589550643919,0.0027128838023268,0.0102871161976732,0.0062871161976732,-0.0013128838023268002
6,2024-01-07 05:00:00,0.013,0.012,0.0002,1.2291,7.849999999998545,33.02499999999964,15.083333333333334,73.39999999999418,0.0001783049446118,0.0007501300376825,0.0003426029190525,0.0016672080171353,0.0113327919828647,0.0103327919828647,-0.0014672080171353
7,2024-01-08 00:00:00,0.005,0.003,0.0009,-0.36978,105.54999999999929,-32.475000000000364,-25.733333333333576,164.90000000000146,0.0024092617912307,-0.0007412674246349,-0.0005873835789768,0.003763972234713,0.0012360277652870002,-0.0007639722347129998,-0.002863972234713
8,2024-01-08 21:00:00,0.011,0.009,0.0008,1.02924,-9.5,-30.02499999999964,8.550000000000486,311.2000000000044,-0.0002026243046787,-0.0006403994471555,0.0001823618742108,0.0066375456437908,0.004362454356209199,0.0023624543562091992,-0.0058375456437908
9,2024-01-11 17:00:00,0.01,0.009,0.0007,0.92931,22.349999999998545,41.09999999999855,-160.78333333333407,366.2999999999956,0.000483006178589,0.000888212704251,-0.0034746909804989,0.0079161146853327,0.0020838853146672998,0.0010838853146672989,-0.0072161146853327
10,2024-01-12 17:00:00,0.013,0.011,0.0009,1.2291,9.600000000002185,-191.5,-156.1999999999995,346.3000000000029,0.0002200477228499,-0.0043894936380994,-0.0035803598238701,0.007937763169054,0.005062236830945999,0.003062236830945999,-0.007037763169054001
11,2024-01-14 02:00:00,0.013,0.008,0.0012,1.2291,-32.849999999998545,-1.875,-2.4333333333330907,67.0,-0.0007685558869976,-4.386734514827163e-05,-5.6930065703529056e-05,0.0015675264666315,0.011432473533368499,0.0064324735333685,-0.0003675264666315001
