Column,Method,sem_sample,sem_population,sev_sample,sev_population
TP_ATR_1_residual,Sturges,7.731013432805603e-05,2.9752344259480094e-08,7.369419125008618e-08,4.216915488587614e-08
TP_ATR_1_residual,Rice,6.863270509873793e-05,1.8133318850161993e-08,5.117617192323222e-08,2.57010581928787e-08
TP_ATR_1_residual,Square-root,7.225131547042636e-05,1.7670497006303932e-08,5.324657638951212e-08,2.5045082789797693e-08
TP_ATR_1_residual,Freedman-Diaconis,7.084907525538019e-05,2.232185312715829e-08,5.854451397218701e-08,3.163763075775076e-08
SL_ATR_1_residual,Sturges,0.00012808908150532743,8.276083934999872e-08,2.0362081964874478e-07,1.1730015700941591e-07
SL_ATR_1_residual,Rice,0.0001041716352753447,4.465578460482698e-08,1.218262099176869e-07,6.329238063152803e-08
SL_ATR_1_residual,Square-root,9.879943607799858e-05,3.1098342353527076e-08,9.665320010995639e-08,4.407689034392751e-08
SL_ATR_1_residual,Freedman-Diaconis,8.504944884251402e-05,2.016412443634883e-08,6.709889481209538e-08,2.857939794856798e-08
PC_ATR_1_residual,Sturges,6.641138631932656e-05,3.542073215693262e-08,6.889613154391995e-08,5.020318155336262e-08
PC_ATR_1_residual,Rice,5.9262264485799584e-05,2.004665920749338e-08,4.6329804865340654e-08,2.8412909910310893e-08
PC_ATR_1_residual,Square-root,5.481936853341128e-05,1.5158936050139523e-08,3.729632284755656e-08,2.148534974684363e-08
PC_ATR_1_residual,Freedman-Diaconis,3.972295162885045e-05,5.131758074300946e-09,1.5782415837234962e-08,7.273440344220579e-09
TP_ATR_2_residual,Sturges,7.351331400575232e-05,2.2238770016107077e-08,6.06699689249345e-08,3.151987383252283e-08
TP_ATR_2_residual,Rice,6.577686398536837e-05,1.55069775867154e-08,4.538550276789244e-08,2.197864255545685e-08
TP_ATR_2_residual,Square-root,5.846376283639697e-05,9.755040006510656e-09,3.207246471812106e-08,1.3826197672520962e-08
TP_ATR_2_residual,Freedman-Diaconis,8.033728842602539e-05,2.613071208296167e-08,7.18792514961768e-08,3.703607472051687e-08
SL_ATR_2_residual,Sturges,0.0001136439667659131,5.571770209110815e-08,1.4839905534499278e-07,7.897086659369348e-08
SL_ATR_2_residual,Rice,0.00010666663814268115,3.7758461532409154e-08,1.1493285026676313e-07,5.351653633495505e-08
SL_ATR_2_residual,Square-root,8.277899116163746e-05,2.001151673801418e-08,6.50240034711231e-08,2.8363101121275107e-08
SL_ATR_2_residual,Freedman-Diaconis,7.318726040543169e-05,1.6709209747097947e-08,5.249342638537268e-08,2.3682612963227296e-08
PC_ATR_2_residual,Sturges,6.04808269770952e-05,2.063675644845921e-08,4.797662816261392e-08,2.9249277684728787e-08
PC_ATR_2_residual,Rice,5.402761406840316e-05,1.433673867052933e-08,3.575336029250252e-08,2.0320017417224043e-08
PC_ATR_2_residual,Square-root,4.739363443988354e-05,9.24312422093711e-09,2.5216325311489918e-08,1.310063951609107e-08
PC_ATR_2_residual,Freedman-Diaconis,4.274413692757697e-05,5.69951674778265e-09,1.790552440003275e-08,8.0781467979724e-09
TP_ATR_3_residual,Sturges,8.713187446118073e-05,4.031170549632051e-08,9.66374704177136e-08,5.713534832625889e-08
TP_ATR_3_residual,Rice,8.085318844995996e-05,2.776907077664493e-08,7.454508239414433e-08,3.935818422926717e-08
TP_ATR_3_residual,Square-root,6.839857414204745e-05,1.9872895193256835e-08,5.334808000984583e-08,2.8166627413509064e-08
TP_ATR_3_residual,Freedman-Diaconis,8.085318844995996e-05,2.776907077664493e-08,7.454508239414433e-08,3.935818422926717e-08
SL_ATR_3_residual,Sturges,0.00012159098882803472,8.24269325319853e-08,1.927782432798418e-07,1.1682689788726214e-07
SL_ATR_3_residual,Rice,0.00011389259912118281,5.423986861713864e-08,1.4677453412612947e-07,7.687627572327843e-08
SL_ATR_3_residual,Square-root,8.596646334731208e-05,2.844940484626627e-08,8.029041156540145e-08,4.0322448171153336e-08
SL_ATR_3_residual,Freedman-Diaconis,7.419294316625416e-05,1.7902280205870263e-08,5.505739486408524e-08,2.5373598134915153e-08
PC_ATR_3_residual,Sturges,7.133125733337156e-05,4.221403276884659e-08,8.077443460453479e-08,5.983159077018724e-08
PC_ATR_3_residual,Rice,7.335377542374133e-05,3.3927793750284375e-08,7.45623554338898e-08,4.808718187427975e-08
PC_ATR_3_residual,Square-root,5.950201341830994e-05,2.0679168246439713e-08,4.7239073018768414e-08,2.9309389575826523e-08
PC_ATR_3_residual,Freedman-Diaconis,3.782386837950139e-05,4.747762249303446e-09,1.4451697064855682e-08,6.729188124004695e-09
TP_ATR_4_residual,Sturges,8.10820572886773e-05,3.3162722944082066e-08,8.159198095008602e-08,4.700281725937626e-08
TP_ATR_4_residual,Rice,8.113647928776478e-05,2.752706689020211e-08,7.448897871023932e-08,3.901518270705469e-08
TP_ATR_4_residual,Square-root,6.36705736555956e-05,1.668231381023412e-08,4.551130569405843e-08,2.36444923056576e-08
TP_ATR_4_residual,Freedman-Diaconis,8.691522323341614e-05,3.158779572091209e-08,8.547741945568157e-08,4.4770611641270184e-08
SL_ATR_4_residual,Sturges,0.0001269878626434597,9.097675124732351e-08,2.1150405961016925e-07,1.2894488854066686e-07
SL_ATR_4_residual,Rice,9.470349642291328e-05,3.690717359173718e-08,1.0068709165552246e-07,5.230997282151907e-08
SL_ATR_4_residual,Square-root,9.8485011683288e-05,3.154448438417271e-08,9.701318002797626e-08,4.47092247988974e-08
SL_ATR_4_residual,Freedman-Diaconis,8.350186710814227e-05,2.3602044257678046e-08,7.112013046756769e-08,3.345209544650251e-08
PC_ATR_4_residual,Sturges,6.930743927952685e-05,3.507029853843621e-08,7.15738106969269e-08,4.970649835399138e-08
PC_ATR_4_residual,Rice,6.422072100032154e-05,2.6278989327412112e-08,5.7447982617860375e-08,3.724623382706489e-08
PC_ATR_4_residual,Square-root,4.981085375141068e-05,1.4985679318768597e-08,3.3657597033923176e-08,2.123978624178055e-08
PC_ATR_4_residual,Freedman-Diaconis,3.347965327597173e-05,3.4966070807395303e-09,1.0984893311501592e-08,4.9558772336325834e-09
TP_ATR_5_residual,Sturges,8.52674512591664e-05,4.343063148519703e-08,9.809097858197916e-08,6.155592345659035e-08
TP_ATR_5_residual,Rice,7.840825287126165e-05,2.570698679627824e-08,6.956379333149917e-08,3.643551238877649e-08
TP_ATR_5_residual,Square-root,7.617183237400906e-05,2.2335921314483597e-08,6.30368306375194e-08,3.1657570146899746e-08
TP_ATR_5_residual,Freedman-Diaconis,8.705211365586791e-05,3.168737486748435e-08,8.574688328771973e-08,4.491174903933827e-08
SL_ATR_5_residual,Sturges,0.00011972356997767505,6.754679339500916e-08,1.7202186162015306e-07,9.573669785065168e-08
SL_ATR_5_residual,Rice,8.851743822989197e-05,2.912277611811278e-08,8.367184650079326e-08,4.127684346890024e-08
SL_ATR_5_residual,Square-root,9.470401879157696e-05,2.6192476654524676e-08,8.510797633173968e-08,3.712361605043645e-08
SL_ATR_5_residual,Freedman-Diaconis,9.470401879157696e-05,2.6192476654524676e-08,8.510797633173968e-08,3.712361605043645e-08
PC_ATR_5_residual,Sturges,7.124507107055699e-05,4.4807257232404775e-08,8.309776081445422e-08,6.350706867888294e-08
PC_ATR_5_residual,Rice,7.773041398105144e-05,3.809716317851917e-08,8.372528561235538e-08,5.399659135348904e-08
PC_ATR_5_residual,Square-root,5.73029751067468e-05,2.1140397398772117e-08,4.597327649805747e-08,2.996310759525248e-08
PC_ATR_5_residual,Freedman-Diaconis,3.4241286750724e-05,3.657506297792659e-09,1.1490372106350608e-08,5.183925952945438e-09
TP_ATR_6_residual,Sturges,8.937962398134858e-05,5.196251867684373e-08,1.1241706769778651e-07,7.36484990639304e-08
TP_ATR_6_residual,Rice,7.709497128455809e-05,2.9981459168074074e-08,7.376495137091323e-08,4.249388835840191e-08
TP_ATR_6_residual,Square-root,8.743251147884006e-05,3.1457533520824905e-08,8.581983534976196e-08,4.458598595788386e-08
TP_ATR_6_residual,Freedman-Diaconis,7.230700441501135e-05,2.220893764173391e-08,5.961910283947548e-08,3.147759124784365e-08
SL_ATR_6_residual,Sturges,0.00011718623623981093,7.1094316933732e-08,1.7263046873793765e-07,1.0076474096083546e-07
