Date,calculated_tp,Optimized TP,calculated_sl,Optimized SL,calculated_percentage_change,Percentage Change
3/24/2024 19:00,0.003321,0.003,0.002625,0.003,0.000222,0.0004
3/25/2024 8:00,0.003346,0.013,0.002636,0.006,0.000223,0.0006
3/25/2024 10:00,0.002985,0.013,0.002399,0.011,0.000204,0.0007
3/25/2024 18:00,0.001472,0.013,0.001168,0.013,0.000099,0.0001
3/27/2024 1:00,0.002839,0.013,0.002271,0.013,0.000192,0.0013
3/27/2024 5:00,0.001823,0.012,0.001436,0.01,0.000122,0.0008
3/27/2024 11:00,0.002062,0.006,0.00164,0.003,0.000139,0.0013
3/28/2024 0:00,0.00166,0.013,0.001348,0.01,0.000116,0.0012
3/28/2024 13:00,0.002156,0.012,0.00172,0.01,0.000146,0.0008
3/28/2024 21:00,0.001574,0.007,0.001246,0.011,0.000106,0.0013
3/30/2024 1:00,0.001706,0.013,0.001355,0.009,0.000115,0.0002
3/31/2024 21:00,0.001567,0.013,0.00125,0.011,0.000107,0.0004
4/3/2024 17:00,0.00262,0.013,0.002056,0.005,0.000173,0.0002
4/5/2024 20:00,0.00185,0.013,0.001442,0.007,0.000122,0.0004
4/6/2024 9:00,0.001374,0.008,0.001101,0.007,0.000094,0.001
4/7/2024 2:00,0.002741,0.008,0.002168,0.013,0.000183,0.0007
4/7/2024 9:00,0.000746,0.003,0.000585,0.004,0.000049,0.0001
4/8/2024 10:00,0.003391,0.013,0.002636,0.013,0.000221,0.0003
4/10/2024 21:00,0.003054,0.013,0.002396,0.011,0.000203,0.0007
4/11/2024 22:00,0.001476,0.013,0.001159,0.008,0.000099,0.0012
4/12/2024 10:00,0.001102,0.013,0.000878,0.013,0.000075,0.0006
4/12/2024 22:00,0.003006,0.005,0.002404,0.01,0.000205,0.001
4/13/2024 1:00,0.00482,0.011,0.003749,0.004,0.000317,0.0002
4/13/2024 21:00,0.007892,0.013,0.006146,0.013,0.000524,0.0007
4/14/2024 1:00,0.005069,0.012,0.003911,0.005,0.000329,0.0014
4/14/2024 6:00,0.003036,0.013,0.002362,0.01,0.000199,0.0004
4/15/2024 21:00,0.003474,0.012,0.002726,0.013,0.000231,0.0001
4/17/2024 13:00,0.003,0.011,0.002344,0.007,0.000199,0.0004
4/17/2024 17:00,0.004716,0.004,0.003723,0.003,0.000317,0.0003
