TP_ATR_1_residual,TP_ATR_2_residual,TP_ATR_3_residual,TP_ATR_4_residual,TP_ATR_5_residual,TP_ATR_6_residual,TP_ATR_7_residual,TP_ATR_8_residual,TP_ATR_9_residual,TP_ATR_10_residual,TP_ATR_11_residual,TP_ATR_12_residual,SL_ATR_1_residual,SL_ATR_2_residual,SL_ATR_3_residual,SL_ATR_4_residual,SL_ATR_5_residual,SL_ATR_6_residual,SL_ATR_7_residual,SL_ATR_8_residual,SL_ATR_9_residual,SL_ATR_10_residual,SL_ATR_11_residual,SL_ATR_12_residual,PC_ATR_1_residual,PC_ATR_2_residual,PC_ATR_3_residual,PC_ATR_4_residual,PC_ATR_5_residual,PC_ATR_6_residual,PC_ATR_7_residual,PC_ATR_8_residual,PC_ATR_9_residual,PC_ATR_10_residual,PC_ATR_11_residual,PC_ATR_12_residual
0.006537004,0.005941028,0.004802911,0.004758743,0.006306653,0.006140658,0.005617017,0.005488327,0.005056396,0.002029196,0.005639008,0.003654536,0.002108466,0.002915404,0.000335691,0.003336426,0.003668344,0.000816372,0.001450021,0.004244273,0.00189445,0.001857376,0.000310339,0.002128863,-0.002640696,-0.004958972,-0.007364309,-0.004035193,-0.003819775,-0.003810362,-0.003763295,-0.003646017,-0.00580555,-0.005842624,-0.005804745,-0.005571137
0.008025216,0.006033859,0.006107855,0.006255848,0.005932847,0.006539601,0.007744481,0.007861886,0.004960485,0.003570699,0.004572005,0.004607472,0.003686405,0.001226273,0.001789996,0.003527419,0.003576737,-0.000110362,0.003542612,0.003469568,6.66e-05,0.002619817,0.000165899,0.002474233,-0.004362996,-0.004566141,-0.004380997,-0.006141257,-0.004293347,-0.004459342,-0.004982983,-0.005111673,-0.005543604,-0.007029301,-0.005034683,-0.005113306
0.007571608,0.006915404,0.005789996,0.007336426,0.00666392,0.005919333,0.006402608,0.005543756,0.005626206,0.003391336,0.006270906,0.004320762,0.002486872,0.003603371,0.000723557,0.002030107,0.004191156,0.000477518,0.002135366,0.001947772,0.000960485,0.00218764,-0.000988063,0.003566863,-0.003574784,-0.004684596,-0.006097089,-0.004344152,-0.003931656,-0.003634415,-0.005055519,-0.003355727,-0.006084275,-0.005127435,-0.006330121,-0.006482777
0.006686405,0.005226273,0.005714675,0.006030107,0.006085485,0.006324917,0.00623019,0.006046232,0.005329898,0.00191153,0.006521549,0.002902053,0.003693375,0.003038952,0.000295513,0.004354603,0.003377027,-0.000205178,0.00342703,0.003287787,0.002379975,0.002195837,-0.000962651,0.002302716,-0.002843672,-0.004328218,-0.004492145,-0.004263574,-0.00434098,-0.004955301,-0.00558136,-0.004938114,-0.005794075,-0.006551549,-0.005375009,-0.005196296
0.007857763,0.006805888,0.004111027,0.006674697,0.007143686,0.005039515,0.006135366,0.007457887,0.00472092,0.002109339,0.006261269,0.004430558,0.002930672,0.002708499,0.003182148,0.00326654,0.002154083,-0.000460399,0.002209461,0.002476899,0.002338809,0.00284086,0.000384505,0.002211296,-0.002619758,-0.00440892,-0.004171299,-0.004300871,-0.004546849,-0.006093827,-0.004203918,-0.003330432,-0.006639515,-0.005425078,-0.006560992,-0.00641885
0.007525043,0.007472868,0.006250153,0.005898503,0.005462446,0.007520181,0.006345738,0.007414099,0.003762229,0.003734344,0.006458398,0.00328641,0.002650377,0.001106706,0.002340391,0.001996204,0.004178135,0.002056455,0.002345738,0.002680256,0.001762229,0.001734344,-0.001002074,0.002129832,-0.004261272,-0.005545207,-0.00584221,-0.004450136,-0.005667153,-0.004346226,-0.005797392,-0.004130567,-0.006573794,-0.006866033,-0.006529094,-0.005688704
0.007693375,0.007603371,0.004121374,0.006930094,0.00676693,0.006056455,0.006583358,0.006680256,0.004905359,0.002026429,0.004546462,0.00354344,0.001523032,0.003518308,0.000121374,0.004190814,0.003687196,0.001744606,0.003759559,0.004156523,0.001905359,0.00175268,0.000888472,0.001663446,-0.004342237,-0.006373727,-0.005810004,-0.005569893,-0.00553608,-0.005660399,-0.00496981,-0.005153768,-0.005870102,-0.006757678,-0.0055604,-0.004570168
0.006930672,0.007966528,0.003840233,0.005261793,0.006106238,0.006599432,0.005624808,0.007806636,0.005428043,0.002927742,0.004948125,0.003035939,0.002596901,0.000601579,0.001840233,0.002044898,0.003126819,0.001250083,0.001619325,0.002806636,0.002088719,0.001899426,0.000213289,0.003366611,-0.003674957,-0.006869782,-0.004904487,-0.005525303,-0.005114515,-0.005280667,-0.00490989,-0.004621508,-0.006845694,-0.006784257,-0.005797686,-0.005557795
0.008677603,0.005038952,0.006880903,0.007290299,0.006123347,0.005556369,0.005504641,0.006719308,0.005758853,0.002731118,0.005011937,0.004038655,0.002219073,0.000761193,0.001620079,0.003906443,0.003106238,0.00085716,0.003101429,0.002423285,0.001011126,0.002035488,-0.001051995,0.003612953,-0.004706625,-0.005394112,-0.005485325,-0.005301497,-0.004208844,-0.006075083,-0.004909107,-0.005342113,-0.005402214,-0.006280102,-0.004681078,-0.004796537
0.007596901,0.007466625,0.00640629,0.006461243,0.006376484,0.0060434,0.00723018,0.005423285,0.005434391,0.001853212,0.005382854,0.003861995,0.003767732,0.001813098,0.000417082,0.002813406,0.002383201,0.001448312,0.002624808,0.003475776,0.000931586,0.001101014,4.38e-05,0.002313328,-0.003140079,-0.004796629,-0.006649847,-0.004045397,-0.005756314,-0.005379819,-0.005690539,-0.005423101,-0.005561191,-0.005704163,-0.006538731,-0.005368943
