Date,Optimized TP,Optimized SL,Percentage Change,ROI,ATR_1,ATR_2,ATR_3,ATR_4,ATR_5,ATR_6,ATR_7,ATR_8,ATR_9,ATR_10,ATR_11,ATR_12,ATR_1_pct,ATR_2_pct,ATR_3_pct,ATR_4_pct,ATR_5_pct,ATR_6_pct,ATR_7_pct,ATR_8_pct,ATR_9_pct,ATR_10_pct,ATR_11_pct,ATR_12_pct,TP_ATR_1_residual,SL_ATR_1_residual,PC_ATR_1_residual,TP_ATR_2_residual,SL_ATR_2_residual,PC_ATR_2_residual,TP_ATR_3_residual,SL_ATR_3_residual,PC_ATR_3_residual,TP_ATR_4_residual,SL_ATR_4_residual,PC_ATR_4_residual,TP_ATR_5_residual,SL_ATR_5_residual,PC_ATR_5_residual,TP_ATR_6_residual,SL_ATR_6_residual,PC_ATR_6_residual,TP_ATR_7_residual,SL_ATR_7_residual,PC_ATR_7_residual,TP_ATR_8_residual,SL_ATR_8_residual,PC_ATR_8_residual,TP_ATR_9_residual,SL_ATR_9_residual,PC_ATR_9_residual,TP_ATR_10_residual,SL_ATR_10_residual,PC_ATR_10_residual,TP_ATR_11_residual,SL_ATR_11_residual,PC_ATR_11_residual,TP_ATR_12_residual,SL_ATR_12_residual,PC_ATR_12_residual
1/1/2024 1:00,0.007,0.008,0.0003,0.62952,370,341.8,326.8666667,374.55,331.4,306.3666667,279.3428571,269,260.3888889,261.97,260.3545455,250.3916667,0.008675691,0.008014463,0.007664309,0.008782378,0.007770605,0.007183628,0.006549979,0.006307462,0.00610555,0.006142624,0.006104745,0.005871137,-0.001675691,-0.000675691,-0.008375691,-0.001014463,-1.45E-05,-0.007714463,-0.000664309,0.000335691,-0.007364309,-0.001782378,-0.000782378,-0.008482378,-0.000770605,0.000229395,-0.007470605,-0.000183628,0.000816372,-0.006883628,0.000450021,0.001450021,-0.006249979,0.000692538,0.001692538,-0.006007462,0.00089445,0.00189445,-0.00580555,0.000857376,0.001857376,-0.005842624,0.000895255,0.001895255,-0.005804745,0.001128863,0.002128863,-0.005571137
1/1/2024 17:00,0.013,0.004,0.0003,1.2291,126,165.9,200.5666667,185.75,176.52,176.1166667,174.1,169.075,168.5333333,162.47,158.0909091,163.4333333,0.002940696,0.003871916,0.004680997,0.004335193,0.004119775,0.004110362,0.004063295,0.003946017,0.003933375,0.003791864,0.003689661,0.003814347,0.010059304,0.001059304,-0.002640696,0.009128084,0.000128084,-0.003571916,0.008319003,-0.000680997,-0.004380997,0.008664807,-0.000335193,-0.004035193,0.008880225,-0.000119775,-0.003819775,0.008889638,-0.000110362,-0.003810362,0.008936705,-6.33E-05,-0.003763295,0.009053983,5.40E-05,-0.003646017,0.009066625,6.66E-05,-0.003633375,0.009208136,0.000208136,-0.003491864,0.009310339,0.000310339,-0.003389661,0.009185653,0.000185653,-0.003514347
1/2/2024 23:00,0.012,0.008,0.0002,1.12917,265,366.45,429.9666667,437.65,450.84,432.1666667,433.8,445.975,451.0666667,488.36,484.2909091,471.5833333,0.005891534,0.00814699,0.009559106,0.009729923,0.010023166,0.009608017,0.009644329,0.009915006,0.010028205,0.010857318,0.010766853,0.010484336,0.006108466,0.002108466,-0.005691534,0.00385301,-0.00014699,-0.00794699,0.002440894,-0.001559106,-0.009359106,0.002270077,-0.001729923,-0.009529923,0.001976834,-0.002023166,-0.009823166,0.002391983,-0.001608017,-0.009408017,0.002355671,-0.001644329,-0.009444329,0.002084994,-0.001915006,-0.009715006,0.001971795,-0.002028205,-0.009828205,0.001142682,-0.002857318,-0.010657318,0.001233147,-0.002766853,-0.010566853,0.001515664,-0.002484336,-0.010284336
1/6/2024 1:00,0.011,0.003,0.0001,-0.36978,196.2,222.4,272.4333333,274.375,301.64,402.85,389.9714286,377.8,394.7,394.37,400.2454545,455.3,0.004462996,0.005058972,0.006197089,0.006241257,0.006861458,0.0091637,0.008870749,0.008593883,0.008978311,0.008970804,0.009104454,0.010356789,0.006537004,-0.001462996,-0.004362996,0.005941028,-0.002058972,-0.004958972,0.004802911,-0.003197089,-0.006097089,0.004758743,-0.003241257,-0.006141257,0.004138542,-0.003861458,-0.006761458,0.0018363,-0.0061637,-0.0090637,0.002129251,-0.005870749,-0.008770749,0.002406117,-0.005593883,-0.008493883,0.002021689,-0.005978311,-0.008878311,0.002029196,-0.005970804,-0.008870804,0.001895546,-0.006104454,-0.009004454,0.000643211,-0.007356789,-0.010256789
1/6/2024 5:00,0.011,0.011,0.0004,1.02924,293,217,213.7666667,207.3,205.08,212.3333333,235.2142857,240.8375,259.7111111,324.63,323.5454545,320.9666667,0.006705435,0.004966141,0.004892145,0.004744152,0.004693347,0.004859342,0.005382983,0.005511673,0.005943604,0.007429301,0.007404481,0.007345464,0.004294565,0.004294565,-0.006305435,0.006033859,0.006033859,-0.004566141,0.006107855,0.006107855,-0.004492145,0.006255848,0.006255848,-0.004344152,0.006306653,0.006306653,-0.004293347,0.006140658,0.006140658,-0.004459342,0.005617017,0.005617017,-0.004982983,0.005488327,0.005488327,-0.005111673,0.005056396,0.005056396,-0.005543604,0.003570699,0.003570699,-0.007029301,0.003595519,0.003595519,-0.007004481,0.003654536,0.003654536,-0.006945464
1/6/2024 21:00,0.013,0.009,0.0014,1.2291,218.3,267,241,248.525,233.96,220.9166667,206.3714286,208.6875,208.0888889,209.36,199.1,199.0416667,0.004974784,0.006084596,0.005492089,0.005663574,0.005331656,0.005034415,0.004702947,0.004755727,0.004742086,0.004771053,0.00453724,0.004535911,0.008025216,0.004025216,-0.003574784,0.006915404,0.002915404,-0.004684596,0.007507911,0.003507911,-0.004092089,0.007336426,0.003336426,-0.004263574,0.007668344,0.003668344,-0.003931656,0.007965585,0.003965585,-0.003634415,0.008297053,0.004297053,-0.003302947,0.008244273,0.004244273,-0.003355727,0.008257914,0.004257914,-0.003342086,0.008228947,0.004228947,-0.003371053,0.00846276,0.00446276,-0.00313724,0.008464089,0.004464089,-0.003135911
1/7/2024 5:00,0.013,0.012,0.0002,1.2291,238.2,198.7,175.4,197.5,199.26,226.2166667,230.6142857,225.4625,224.6666667,233.77,229.7,233.15,0.005428392,0.004528218,0.003997229,0.004500871,0.00454098,0.005155301,0.005255519,0.005138114,0.005119978,0.005327435,0.005234683,0.005313306,0.007571608,0.006571608,-0.005228392,0.008471782,0.007471782,-0.004328218,0.009002771,0.008002771,-0.003797229,0.008499129,0.007499129,-0.004300871,0.00845902,0.00745902,-0.00434098,0.007844699,0.006844699,-0.004955301,0.007744481,0.006744481,-0.005055519,0.007861886,0.006861886,-0.004938114,0.007880022,0.006880022,-0.004919978,0.007672565,0.006672565,-0.005127435,0.007765317,0.006765317,-0.005034683,0.007686694,0.006686694,-0.005113306
1/8/2024 0:00,0.005,0.003,0.0009,-0.36978,363,410.1,429.3666667,357.625,318.68,305.0833333,282.7285714,298.7625,304.6666667,325.05,315.3909091,322.05,0.008321527,0.009401263,0.009842938,0.008198309,0.007305522,0.006993827,0.00648136,0.006848926,0.006984275,0.007451549,0.007230121,0.007382777,-0.003321527,-0.005321527,-0.007421527,-0.004401263,-0.006401263,-0.008501263,-0.004842938,-0.006842938,-0.008942938,-0.003198309,-0.005198309,-0.007298309,-0.002305522,-0.004305522,-0.006405522,-0.001993827,-0.003993827,-0.006093827,-0.00148136,-0.00348136,-0.00558136,-0.001848926,-0.003848926,-0.005948926,-0.001984275,-0.003984275,-0.006084275,-0.002451549,-0.004451549,-0.006551549,-0.002230121,-0.004230121,-0.006330121,-0.002382777,-0.004382777,-0.006482777
1/8/2024 21:00,0.011,0.009,0.0008,1.02924,574.2,519.35,584.2,816.2,808.12,737.8,744.2571429,697.375,662.4888889,679.24,691.1363636,671.3583333,0.012194397,0.011029537,0.012406769,0.017333798,0.017162201,0.015668802,0.015805933,0.014810288,0.014069405,0.014425152,0.014677797,0.014257767,-0.001194397,-0.003194397,-0.011394397,-2.95E-05,-0.002029537,-0.010229537,-0.001406769,-0.003406769,-0.011606769,-0.006333798,-0.008333798,-0.016533798,-0.006162201,-0.008162201,-0.016362201,-0.004668802,-0.006668802,-0.014868802,-0.004805933,-0.006805933,-0.015005933,-0.003810288,-0.005810288,-0.014010288,-0.003069405,-0.005069405,-0.013269405,-0.003425152,-0.005425152,-0.013625152,-0.003677797,-0.005677797,-0.013877797,-0.003257767,-0.005257767,-0.013457767
1/11/2024 17:00,0.01,0.009,0.0007,0.92931,987.6,1139.7,1487.433333,1570,1392.02,1248.283333,1136.557143,1078.725,975.5222222,904.81,849.2727273,819.1916667,0.021230811,0.024500562,0.031975917,0.033750884,0.029924781,0.026834819,0.024432999,0.02318976,0.02097117,0.019451043,0.018257137,0.017610473,-0.011230811,-0.012230811,-0.020530811,-0.014500562,-0.015500562,-0.023800562,-0.021975917,-0.022975917,-0.031275917,-0.023750884,-0.024750884,-0.033050884,-0.019924781,-0.020924781,-0.029224781,-0.016834819,-0.017834819,-0.026134819,-0.014432999,-0.015432999,-0.023732999,-0.01318976,-0.01418976,-0.02248976,-0.01097117,-0.01197117,-0.02027117,-0.009451043,-0.010451043,-0.018751043,-0.008257137,-0.009257137,-0.017557137,-0.007610473,-0.008610473,-0.016910473
