Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
6/1/2024 0:00,Sell,67608.6,67615.36086,66668.74581,68359.12983,-1,34:26:00,0:00:00,-1.16922,98830.77989,,0.144271
6/1/2024 23:00,Buy,67829.8,67823.01702,68772.53926,67076.96383,1,25:32:00,0:00:00,1.32903,100144.2707,,0.144271
6/3/2024 2:00,Sell,68367.9,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100144.2707,Signal around economic event,0
6/4/2024 1:00,Buy,69297.7,69290.77023,70260.84101,68528.57176,1,13:16:00,0:00:00,1.32903,101475.2183,,1.32903
6/5/2024 0:00,Sell,71047.2,71054.30472,70059.54445,71835.90207,ended before data with profit,58:30:00,0:00:00,0.476007,101958.2473,,-0.698779
6/5/2024 23:00,Buy,71190,71182.881,72179.44133,70399.86931,-1,19:31:00,0:00:00,-1.16922,100766.1309,,-0.698779
6/6/2024 8:00,Sell,71047.3,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100766.1309,Signal around economic event,0
6/7/2024 17:00,Sell,69081,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100766.1309,Signal around economic event,-1.16922
6/7/2024 23:00,Buy,69490.3,69483.35097,70456.11788,68719.03411,-1,73:25:00,0:01:00,-1.16922,99587.95308,,-1.16922
6/10/2024 6:00,Sell,69489.1,69496.04891,68523.10423,70260.50545,1,18:27:00,0:01:00,1.32903,100911.507,,1.32903
6/11/2024 12:00,Buy,67260.7,67253.97393,68195.52957,66514.18022,-1,2:08:00,0:00:00,-1.16922,99731.62936,,-2.324769
6/11/2024 15:00,Sell,66622.6,66629.26226,65696.45259,67362.18415,-1,3:15:00,0:00:00,-1.16922,98565.54709,,-2.324769
6/13/2024 4:00,Buy,67576.8,67570.04232,68516.02291,66826.77185,1,7:00:00,0:00:00,1.32903,99875.51292,,2.675723
6/13/2024 16:00,Sell,66725,66731.6725,65797.42909,67465.7209,1,22:39:00,0:00:00,1.32903,101202.8886,,2.675723
6/14/2024 16:00,Sell,65516,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,101202.8886,One open trade with the same side,1.32903
6/14/2024 17:00,Buy,65258.2,65251.67418,66165.19762,64533.90576,1,3:00:00,0:00:00,1.32903,102547.9055,,1.32903
6/16/2024 11:00,Buy,66587.6,66580.94124,67513.07442,65848.55089,-1,21:23:00,0:00:00,-1.16922,101348.8947,,0.144271
6/16/2024 17:00,Sell,66640,66646.664,65713.6107,67379.7773,1,15:26:00,0:00:00,1.32903,102695.8521,,0.144271
6/17/2024 4:00,Sell,66510.9,66517.55109,65586.30538,67249.24415,1,4:22:00,0:04:00,1.32903,104060.7109,,2.675723
6/17/2024 12:00,Buy,65690.2,65683.63098,66603.20181,64961.11104,1,4:29:00,0:00:00,1.32903,105443.7091,,2.675723
6/18/2024 2:00,Buy,65433.2,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,105443.7091,Signal around economic event,0
6/18/2024 16:00,Sell,64460.5,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,105443.7091,Signal around economic event,0
6/20/2024 18:00,Sell,65061.2,65067.70612,64156.75823,65783.45089,1,12:07:00,0:31:00,1.32903,106845.0878,,1.32903
6/21/2024 8:00,Buy,63870.2,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,106845.0878,Signal around economic event,1.32903
6/21/2024 20:00,Sell,63900,63906.39,63011.70054,64609.36029,1,50:31:00,0:04:00,1.32903,108265.0912,,1.32903
6/23/2024 12:00,Sell,64261.3,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,108265.0912,One open trade with the same side,0
6/24/2024 2:00,Buy,62970,62963.703,63845.19484,62271.10227,-1,2:14:00,0:00:00,-1.16922,106999.234,,-1.16922
6/25/2024 4:00,Buy,61259.2,61253.07408,62110.61712,60579.29027,1,8:59:00,0:00:00,1.32903,108421.2861,,0.144271
6/25/2024 12:00,Sell,61236.5,61242.62365,60385.22692,61916.29251,-1,0:59:00,0:00:00,-1.16922,107153.6026,,0.144271
6/26/2024 13:00,Sell,61643.3,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,107153.6026,Signal around economic event,0
6/27/2024 8:00,Sell,61017.4,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,107153.6026,Signal around economic event,0
6/28/2024 8:00,Buy,61399.9,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,107153.6026,Signal around economic event,1.32903
6/28/2024 16:00,Sell,60975.6,60981.69756,60127.95379,61652.49623,1,1:47:00,0:00:00,1.32903,108577.7063,,1.32903
6/29/2024 3:00,Buy,60718.9,60712.82811,61562.8077,60044.987,1,26:36:00,0:01:00,1.32903,110020.7367,,1.32903
6/30/2024 6:00,Sell,61649,61655.1649,60791.99259,62333.37171,-1,13:04:00,0:00:00,-1.16922,108734.3521,,-1.16922
