Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
4/1/2024 6:00,Buy,69781.4,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,100000,Signal around economic event,0
4/3/2024 16:00,Sell,66342.3,66382.10538,65585.52012,67178.69065,1,1:19:00,0:01:00,1.12917,101129.1701,,1.12917
4/4/2024 0:00,Buy,66232.2,66192.46068,66986.77021,65398.15115,-1,2:49:00,0:18:00,-1.26915,99845.68914,,-1.26915
4/5/2024 2:00,Buy,67813,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,99845.68914,Signal around economic event,1.12917
4/5/2024 19:00,Buy,67512,67471.4928,68281.15071,66661.83489,1,19:01:00,0:02:00,1.12917,100973.1168,,1.12917
4/6/2024 8:00,Sell,68088.5,NaN,NaN,NaN,Not Filled,0:00:00,0:00:00,0,100973.1168,,0
4/7/2024 1:00,Sell,69683.8,69725.61028,68888.90296,70562.3176,1,17:43:00,0:00:00,1.12917,102113.2751,,1.12917
4/8/2024 9:00,Sell,72043.2,72086.42592,71221.38881,72951.46303,1,14:54:00,0:02:00,1.12917,103266.3077,,1.12917
4/10/2024 20:00,Buy,69872.4,69830.47656,70668.44228,68992.51084,1,0:58:00,0:10:00,1.12917,104432.36,,1.12917
4/11/2024 4:00,Sell,70665.6,70707.99936,69859.50337,71556.49535,1,8:28:00,0:04:00,1.12917,105611.579,,2.27109
4/11/2024 21:00,Buy,70173,70130.8962,70972.46695,69289.32545,1,4:46:00,0:29:00,1.12917,106804.1134,,2.27109
4/12/2024 9:00,Sell,70728.2,70770.63692,69921.38928,71619.88456,1,3:28:00,0:03:00,1.12917,108010.1135,,-0.154311
4/12/2024 21:00,Buy,67061.2,67020.96328,67825.21484,66216.71172,-1,3:22:00,0:00:00,-1.26915,106639.303,,-0.154311
4/13/2024 0:00,Sell,66796.5,NaN,NaN,NaN,Not Filled,0:00:00,0:00:00,0,106639.303,,1.12917
4/13/2024 20:00,Buy,62065.5,62028.2607,62772.59983,61283.92157,1,0:45:00,0:00:00,1.12917,107843.4422,,1.12917
4/14/2024 0:00,Sell,63349.9,63387.90994,62627.25502,64148.56486,1,1:53:00,0:00:00,1.12917,109061.1781,,2.27109
4/14/2024 5:00,Sell,64146,64184.4876,63414.27375,64954.70145,1,11:05:00,0:02:00,1.12917,110292.6643,,2.27109
4/15/2024 7:00,Buy,66087,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,110292.6643,Signal around economic event,1.12917
4/15/2024 20:00,Sell,63364.8,63402.81888,62641.98505,64163.65271,1,0:15:00,0:00:00,1.12917,111538.0561,,1.12917
4/17/2024 12:00,Buy,62160.8,62123.50352,62868.98556,61378.02148,1,0:28:00,0:01:00,1.12917,112797.5105,,-0.154311
4/17/2024 16:00,Sell,60464.1,60500.37846,59774.37392,61226.383,-1,0:46:00,0:00:00,-1.26915,111365.9408,,-0.154311
4/18/2024 15:00,Buy,63273.3,63235.33602,63994.16005,62476.51199,-1,0:47:00,1:14:00,-1.26915,109952.5398,,-1.26915
4/19/2024 15:00,Sell,64246.1,64284.64766,63513.23189,65056.06343,1,6:11:00,0:41:00,1.12917,111194.0911,,1.12917
4/20/2024 2:00,Buy,63904.8,63866.45712,64632.85461,63100.05964,1,12:33:00,0:01:00,1.12917,112449.6615,,1.12917
4/20/2024 20:00,Sell,64764.1,NaN,NaN,NaN,Not Filled,0:00:00,0:00:00,0,112449.6615,,1.12917
4/21/2024 20:00,Sell,65092.1,NaN,NaN,NaN,Not Filled,0:00:00,0:00:00,0,112449.6615,,0
4/22/2024 15:00,Buy,66049.9,66010.27006,66802.3933,65218.14682,1,0:52:00,0:28:00,1.12917,113719.4095,,1.12917
4/23/2024 4:00,Sell,66299,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,113719.4095,Signal around economic event,0
4/24/2024 21:00,Sell,64327.6,64366.19656,63593.8022,65138.59092,1,10:04:00,1:56:00,1.12917,115003.4951,,1.12917
4/25/2024 8:00,Buy,64099.1,64060.64054,64829.36823,63291.91285,-1,3:43:00,0:00:00,-1.26915,113543.9281,,-2.522193
4/25/2024 21:00,Buy,64633.9,64595.11966,65370.2611,63819.97822,-1,14:58:00,0:06:00,-1.26915,112102.8852,,-2.522193
4/26/2024 20:00,Sell,63883.6,63921.93016,63154.867,64688.99332,1,3:04:00,0:28:00,1.12917,113368.7175,,1.12917
4/27/2024 4:00,Buy,62852,NaN,NaN,NaN,Not Filled,0:00:00,0:00:00,0,113368.7175,,-1.26915
4/27/2024 12:00,Sell,63022.3,63060.11338,62303.39202,63816.83474,-1,13:36:00,0:05:00,-1.26915,111929.8982,,-1.26915
4/28/2024 8:00,Sell,63747,63785.2482,63019.82522,64550.67118,1,13:17:00,0:05:00,1.12917,113193.7772,,1.12917
4/29/2024 4:00,Buy,62483.1,62445.61014,63194.95746,61696.26282,1,12:14:00,0:05:00,1.12917,114471.9275,,1.12917
4/30/2024 3:00,Sell,63663.8,NaN,NaN,NaN,Not Filled,0:00:00,0:00:00,0,114471.9275,,0
