Date,Day of Week,Start Date,End Date,Total Trades,Wins,Losses,WinRate,Final NAV,Daily Return,TP,SL,Entry Time Offset,Percentage Change
2024-02-01 04:00:00,Thursday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.0,0.009,0.013999999999999995,110,0.0001
2024-02-03 00:00:00,Saturday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,1.3290301400000026,0.013999999999999995,0.010999999999999998,70,0.0005
2024-02-05 08:00:00,Monday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.0,0.009,0.013999999999999995,110,0.0001
2024-02-07 08:00:00,Wednesday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.0,0.009,0.013999999999999995,110,0.0001
2024-02-08 00:00:00,Thursday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-1.4690101399999913,0.009,0.013999999999999995,110,0.0001
2024-02-08 16:00:00,Thursday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-1.4690101399999913,0.009,0.013999999999999995,110,0.0001
2024-02-09 09:00:00,Friday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.0,0.009,0.013999999999999995,110,0.0001
2024-02-10 22:00:00,Saturday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-1.1692201099999866,0.013999999999999995,0.010999999999999998,70,0.0005
2024-02-11 21:00:00,Sunday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,1.329030140000013,0.013999999999999995,0.010999999999999998,70,0.0005
2024-02-13 00:00:00,Tuesday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.829380089999988,0.009,0.013999999999999995,110,0.0001
2024-02-14 00:00:00,Wednesday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-0.6518137276212346,0.009,0.013999999999999995,110,0.0001
2024-02-14 10:00:00,Wednesday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-0.6518137276212346,0.009,0.013999999999999995,110,0.0001
2024-02-16 00:00:00,Friday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-0.5413921022586471,0.009,0.013999999999999995,110,0.0001
2024-02-17 00:00:00,Saturday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.14427074233517384,0.013999999999999995,0.010999999999999998,70,0.0005
2024-02-17 16:00:00,Saturday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.14427074233517384,0.013999999999999995,0.010999999999999998,70,0.0005
2024-02-18 01:00:00,Sunday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.14427074233517098,0.013999999999999995,0.010999999999999998,70,0.0005
2024-02-18 23:00:00,Sunday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.14427074233517098,0.013999999999999995,0.010999999999999998,70,0.0005
2024-02-19 18:00:00,Monday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.829380089999992,0.009,0.013999999999999995,110,0.0001
2024-02-21 00:00:00,Wednesday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.8293800900000098,0.009,0.013999999999999995,110,0.0001
2024-02-22 08:00:00,Thursday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.0,0.009,0.013999999999999995,110,0.0001
2024-02-24 05:00:00,Saturday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-1.169220109999997,0.013999999999999995,0.010999999999999998,70,0.0005
2024-02-25 08:00:00,Sunday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-1.169220109999981,0.013999999999999995,0.010999999999999998,70,0.0005
2024-02-26 17:00:00,Monday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-1.4690101400000055,0.009,0.013999999999999995,110,0.0001
2024-02-27 02:00:00,Tuesday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,0.0,0.009,0.013999999999999995,110,0.0001
2024-02-28 13:00:00,Wednesday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-1.4690101400000029,0.009,0.013999999999999995,110,0.0001
2024-02-29 16:00:00,Thursday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-0.019999999999992697,0.009,0.013999999999999995,110,0.0001
2024-02-29 22:00:00,Thursday,2024-02-01,2024-03-01,17,8,9,0.47058823529411764,96292.38334395004,-0.019999999999992697,0.009,0.013999999999999995,110,0.0001
2024-03-01 08:00:00,Friday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.3290301400000026,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-01 11:00:00,Friday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.3290301400000026,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-01 19:00:00,Friday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.3290301400000026,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-02 16:00:00,Saturday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-0.9693600899999908,0.013999999999999995,0.009,80,0.0005
2024-03-03 19:00:00,Sunday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-0.969360089999988,0.013999999999999995,0.009,80,0.0005
2024-03-04 08:00:00,Monday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,0.245528852286987,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-04 21:00:00,Monday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,0.245528852286987,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-05 10:00:00,Tuesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.329030140000002,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-05 20:00:00,Tuesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.329030140000002,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-07 14:00:00,Thursday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,0.0,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-08 15:00:00,Friday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-2.12714638682041,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-08 20:00:00,Friday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-2.12714638682041,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-10 01:00:00,Sunday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-0.9693600899999896,0.013999999999999995,0.009,80,0.0005
2024-03-11 08:00:00,Monday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.0692900999999988,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-12 17:00:00,Tuesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.0692900999999861,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-13 00:00:00,Wednesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,0.2455288522869732,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-13 03:00:00,Wednesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,0.2455288522869732,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-13 19:00:00,Wednesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,0.2455288522869732,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-14 16:00:00,Thursday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,0.0,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-15 04:00:00,Friday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,0.24552885228697052,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-15 20:00:00,Friday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,0.24552885228697052,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-16 19:00:00,Saturday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.3290301400000168,0.013999999999999995,0.009,80,0.0005
2024-03-17 02:00:00,Sunday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-0.6259347421704629,0.013999999999999995,0.009,80,0.0005
2024-03-17 09:00:00,Sunday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-0.6259347421704629,0.013999999999999995,0.009,80,0.0005
2024-03-17 18:00:00,Sunday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-0.6259347421704629,0.013999999999999995,0.009,80,0.0005
2024-03-19 00:00:00,Tuesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.0692900999999972,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-19 09:00:00,Tuesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.0692900999999972,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-21 08:00:00,Thursday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.0692900999999873,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-21 18:00:00,Thursday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.0692900999999873,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-22 01:00:00,Friday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.3290301400000024,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-22 16:00:00,Friday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.3290301400000024,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-24 08:00:00,Sunday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.929323590159135,0.013999999999999995,0.009,80,0.0005
2024-03-24 16:00:00,Sunday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.929323590159135,0.013999999999999995,0.009,80,0.0005
2024-03-24 18:00:00,Sunday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.929323590159135,0.013999999999999995,0.009,80,0.0005
2024-03-25 07:00:00,Monday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.3290301400000175,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-25 17:00:00,Monday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,1.3290301400000175,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-26 00:00:00,Tuesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,-1.069290099999976,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-27 00:00:00,Wednesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,2.6757234911302796,0.013999999999999995,0.009999999999999998,70,0.0005
2024-03-27 23:00:00,Wednesday,2024-03-01,2024-04-01,32,12,20,0.375,95265.7561417453,2.6757234911302796,0.013999999999999995,0.009999999999999998,70,0.0005
