Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,,average winrate first week,average winrate second week,average winrate 3rd week,average winrate 4th week
2024-01-02 to 2024-01-07,0.012,0.009,7,3,4,0.428571429,-0.526437567,99473.56243,,0.50952381,0.467857143,0.515022676,0.478571429
2024-01-09 to 2024-01-14,0.012,0.009,6,3,3,0.5,0.447258064,100447.2581,,,,,
2024-01-16 to 2024-01-21,0.012,0.009,7,5,2,0.714285714,3.734062795,103734.0628,,,,,
2024-01-23 to 2024-01-28,0.012,0.009,4,2,2,0.5,0.297950217,100297.9502,,,,,
2024-01-30 to 2024-02-04,0.012,0.009,3,0,3,0,-2.879981587,97120.01841,,,,,
2024-02-06 to 2024-02-11,0.012,0.009,3,1,2,0.333333333,-0.821938816,99178.06118,,,,,
2024-02-13 to 2024-02-18,0.012,0.009,5,2,3,0.4,-0.674298084,99325.70192,,,,,
2024-02-20 to 2024-02-25,0.012,0.009,5,3,2,0.6,1.430484702,101430.4847,,,,,
2024-02-27 to 2024-03-03,0.012,0.009,7,4,3,0.571428571,1.581478488,101581.4785,,,,,
2024-03-05 to 2024-03-10,0.012,0.009,4,1,3,0.25,-1.783331359,98216.66864,,,,,
2024-03-12 to 2024-03-17,0.012,0.009,10,6,4,0.6,2.881432268,102881.4323,,,,,
2024-03-19 to 2024-03-24,0.012,0.009,10,4,6,0.4,-1.344049388,98655.95061,,,,,
2024-03-26 to 2024-03-31,0.012,0.009,8,4,4,0.5,0.596788177,100596.7882,,,,,
2024-04-02 to 2024-04-07,0.012,0.009,6,3,3,0.5,0.447258064,100447.2581,,,,,
2024-04-09 to 2024-04-14,0.012,0.009,8,6,2,0.75,4.905396837,104905.3968,,,,,
2024-04-16 to 2024-04-21,0.012,0.009,8,3,5,0.375,-1.490694582,98509.30542,,,,,
2024-04-23 to 2024-04-28,0.012,0.009,8,3,5,0.375,-1.490694582,98509.30542,,,,,
2024-04-30 to 2024-05-05,0.012,0.009,5,4,1,0.8,3.579869342,103579.8693,,,,,
2024-05-07 to 2024-05-12,0.012,0.009,8,3,5,0.375,-1.490694582,98509.30542,,,,,
2024-05-14 to 2024-05-19,0.012,0.009,9,4,5,0.444444444,-0.378356939,99621.64306,,,,,
2024-05-21 to 2024-05-26,0.012,0.009,5,3,2,0.6,1.430484702,101430.4847,,,,,
2024-05-28 to 2024-06-02,0.012,0.009,5,3,2,0.6,1.430484702,101430.4847,,,,,
2024-06-04 to 2024-06-09,0.012,0.009,5,2,3,0.4,-0.674298084,99325.70192,,,,,
2024-06-11 to 2024-06-16,0.012,0.009,6,3,3,0.5,0.447258064,100447.2581,,,,,
2024-06-18 to 2024-06-23,0.012,0.009,6,3,3,0.5,0.447258064,100447.2581,,,,,
2024-06-25 to 2024-06-30,0.012,0.009,7,4,3,0.571428571,1.581478488,101581.4785,,,,,
2024-07-02 to 2024-07-07,0.012,0.009,6,4,2,0.666666667,2.575807427,102575.8074,,,,,
2024-07-09 to 2024-07-14,0.012,0.009,6,4,2,0.666666667,2.575807427,102575.8074,,,,,
2024-07-16 to 2024-07-21,0.012,0.009,7,4,3,0.571428571,1.581478488,101581.4785,,,,,
2024-07-23 to 2024-07-28,0.012,0.009,8,3,5,0.375,-1.490694582,98509.30542,,,,,
