Datetime,Side,Entry Price,TP Price,SL Price,Result,Duration
2024-05-20 21:00:00,Sell,69490.0,68864.59,70601.84,1,267:00:00
2024-05-21 17:00:00,Sell,69722.2,69094.70019999999,70837.7552,1,247:00:00
2024-05-21 21:00:00,Buy,69749.9,70377.64909999998,68633.9016,-1,243:00:00
