Real TP,Predicted TP,Real SL,Predicted SL,Real Percentage Change,Predicted Percentage Change
0.01,0.009545454545454544,0.009,0.009468750000000003,0.0007,0.0006374999999999997
0.008,0.008,0.013,0.012531250000000006,0.0011,0.001155172413793103
0.013,0.012999999999999998,0.009,0.009468750000000003,0.0014,0.0013473684210526312
0.013,0.012999999999999998,0.007,0.007000000000000002,0.0006,0.0006374999999999997
0.013,0.012999999999999998,0.013,0.012531250000000006,0.0003,0.0002451612903225805
0.011,0.010999999999999998,0.007,0.007000000000000002,0.0013,0.0013473684210526312
0.013,0.012999999999999998,0.007,0.007000000000000002,0.0008,0.0008000000000000001
0.008,0.008,0.013,0.012531250000000006,0.0007,0.0006374999999999997
0.013,0.012999999999999998,0.006,0.0055238095238095255,0.0004,0.0004432432432432432
0.009,0.009545454545454544,0.009,0.009468750000000003,0.0013,0.0013473684210526312
0.012,0.012000000000000004,0.005,0.0055238095238095255,0.0014,0.0013473684210526312
0.013,0.012999999999999998,0.005,0.0055238095238095255,0.001,0.0009562500000000002
0.012,0.012000000000000004,0.01,0.009468750000000003,0.0005,0.0004432432432432432
0.012,0.012000000000000004,0.004,0.004,0.0008,0.0008000000000000001
0.006,0.006666666666666669,0.008,0.008000000000000005,0.0001,0.00010000000000000003
0.011,0.010999999999999998,0.011,0.011000000000000003,0.0002,0.0002451612903225805
0.012,0.012000000000000004,0.011,0.011000000000000003,0.0009,0.0009562500000000002
0.004,0.0045000000000000005,0.003,0.0030000000000000014,0.0003,0.0002451612903225805
0.006,0.006666666666666669,0.003,0.0030000000000000014,0.0013,0.0013473684210526312
0.013,0.012999999999999998,0.013,0.012531250000000006,0.0013,0.0013473684210526312
0.005,0.0045000000000000005,0.013,0.012531250000000006,0.0009,0.0009562500000000002
0.013,0.012999999999999998,0.008,0.008000000000000005,0.0001,0.00010000000000000003
0.013,0.012999999999999998,0.005,0.0055238095238095255,0.0007,0.0006374999999999997
0.003,0.003,0.013,0.012531250000000006,0.0008,0.0008000000000000001
0.013,0.012999999999999998,0.005,0.0055238095238095255,0.0001,0.00010000000000000003
0.005,0.0045000000000000005,0.01,0.009468750000000003,0.001,0.0009562500000000002
0.01,0.009545454545454544,0.007,0.007000000000000002,0.001,0.0009562500000000002
0.013,0.012999999999999998,0.013,0.012531250000000006,0.0003,0.0002451612903225805
0.012,0.012000000000000004,0.012,0.012531250000000006,0.0006,0.0006374999999999997
0.01,0.009545454545454544,0.004,0.004,0.0013,0.0013473684210526312
0.004,0.0045000000000000005,0.006,0.0055238095238095255,0.0011,0.001155172413793103
0.011,0.010999999999999998,0.01,0.009468750000000003,0.0007,0.0006374999999999997
0.011,0.010999999999999998,0.01,0.009468750000000003,0.0011,0.001155172413793103
0.008,0.008,0.012,0.012531250000000006,0.0009,0.0009562500000000002
0.003,0.003,0.008,0.008000000000000005,0.0007,0.0006374999999999997
0.013,0.012999999999999998,0.009,0.009468750000000003,0.0009,0.0009562500000000002
0.013,0.012999999999999998,0.006,0.0055238095238095255,0.0006,0.0006374999999999997
0.013,0.012999999999999998,0.01,0.009468750000000003,0.0006,0.0006374999999999997
0.004,0.0045000000000000005,0.007,0.007000000000000002,0.0013,0.0013473684210526312
0.013,0.012999999999999998,0.013,0.012531250000000006,0.0006,0.0006374999999999997
0.013,0.012999999999999998,0.011,0.011000000000000003,0.0007,0.0006374999999999997
0.009,0.009545454545454544,0.013,0.012531250000000006,0.0012,0.001155172413793103
0.005,0.0045000000000000005,0.007,0.007000000000000002,0.0006,0.0006374999999999997
0.013,0.012999999999999998,0.005,0.0055238095238095255,0.0006,0.0006374999999999997
0.013,0.012999999999999998,0.01,0.009468750000000003,0.0008,0.0008000000000000001
0.013,0.012999999999999998,0.007,0.007000000000000002,0.0004,0.0004432432432432432
