Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=0",2024-01,31,18,13,0.5806451612903226,-1.8399499162693682,98160.05008373063,97924.78893931546
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=0",2024-02,23,15,8,0.6521739130434783,2.3862169183022544,100502.36180584258,1368.5354160445859
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=0",2024-03,38,26,12,0.6842105263157895,8.630290101182796,109176.00718822713,608.0885953588295
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=0",2024-04,36,24,12,0.6666666666666666,6.85107343791223,116655.7356172729,10772.407737300397
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=0",2024-05,30,21,9,0.7,7.221813304141887,125080.3950521257,10862.481863665074
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=0",2024-06,26,16,10,0.6153846153846154,0.1116623978907562,125220.06282053214,52073.23009068232
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=0",Overall,184,120,64,0.6521739130434783,25.220062820532142,125220.06282053214,115854.10453298394
