Datetime,Signal
2024-01-01 02:58:00,-2
2024-01-01 18:58:00,2
2024-01-02 02:58:00,-2
2024-01-03 00:58:00,2
2024-01-03 18:58:00,2
2024-01-05 02:58:00,2
2024-01-06 02:58:00,2
2024-01-06 22:58:00,2
2024-01-07 02:58:00,-2
2024-01-07 06:58:00,-2
2024-01-08 01:58:00,2
2024-01-08 22:58:00,-2
2024-01-10 18:58:00,2
2024-01-11 18:58:00,-2
2024-01-12 18:58:00,-2
2024-01-14 03:58:00,-2
2024-01-15 02:58:00,-2
2024-01-15 18:58:00,-2
2024-01-16 00:58:00,2
2024-01-16 18:58:00,2
2024-01-17 02:58:00,2
2024-01-17 22:58:00,-2
2024-01-18 20:58:00,-2
2024-01-19 06:58:00,2
2024-01-20 02:58:00,-2
2024-01-20 10:58:00,2
2024-01-22 19:58:00,-2
2024-01-23 18:58:00,-2
2024-01-24 18:58:00,2
2024-01-25 14:58:00,-2
2024-01-26 02:58:00,-2
2024-01-26 18:58:00,-2
2024-01-27 02:58:00,2
2024-01-28 02:58:00,2
2024-01-28 18:58:00,-2
2024-01-30 10:58:00,-2
2024-01-30 18:58:00,2
2024-01-31 18:58:00,-2
2024-02-01 06:58:00,2
2024-02-03 02:58:00,-2
2024-02-05 10:58:00,-2
2024-02-07 10:58:00,2
2024-02-08 02:58:00,-2
2024-02-08 18:58:00,2
2024-02-09 11:58:00,2
2024-02-11 00:58:00,-2
2024-02-11 23:58:00,2
2024-02-13 02:58:00,-2
2024-02-14 02:58:00,2
2024-02-14 12:58:00,-2
2024-02-16 02:58:00,-2
2024-02-17 02:58:00,2
2024-02-17 18:58:00,2
2024-02-18 03:58:00,-2
2024-02-19 01:58:00,-2
2024-02-19 20:58:00,2
2024-02-21 02:58:00,-2
2024-02-22 10:58:00,-2
2024-02-24 07:58:00,-2
2024-02-25 10:58:00,-2
2024-02-26 19:58:00,-2
2024-02-27 04:58:00,-2
2024-02-28 15:58:00,-2
2024-02-29 18:58:00,2
2024-03-01 00:58:00,2
2024-03-01 10:58:00,2
2024-03-01 13:58:00,2
2024-03-01 21:58:00,2
2024-03-02 18:58:00,-2
2024-03-03 21:58:00,-2
2024-03-04 10:58:00,-2
2024-03-04 23:58:00,2
2024-03-05 12:58:00,-2
2024-03-05 22:58:00,2
2024-03-07 16:58:00,-2
