Datetime,Side,Entry Price,TP Price,SL Price,Result,Duration,Execution Duration,ROI,NAV
1/1/2024 0:00,Sell,42623.7,42218.77485,43305.6792,1,2:58:00,2:58:00,0.95,100950
1/1/2024 16:00,Buy,43117.4,43527.0153,42427.5216,1,0:50:00,2:58:00,1.909025,101909.025
1/2/2024 0:00,Sell,45376.4,44945.3242,46102.4224,1,12:19:00,2:58:00,2.877161,102877.1607
1/2/2024 22:00,Buy,45148.9,45577.81455,44426.5176,1,8:41:00,2:58:00,3.854494,103854.4938
1/3/2024 16:00,Buy,42248,42649.356,41572.032,1,0:24:00,2:58:00,4.841111,104841.1115
1/5/2024 0:00,Buy,43507.4,43920.7203,42811.2816,1,3:56:00,2:58:00,5.837102,105837.102
1/6/2024 0:00,Buy,43913.8,44330.9811,43211.1792,1,34:25:00,2:58:00,6.842554,106842.5545
1/6/2024 20:00,Buy,43877.1,44293.93245,43175.0664,1,14:21:00,2:58:00,7.857559,107857.5588
1/7/2024 0:00,Sell,43932.7,43515.33935,44635.6232,1,23:39:00,2:58:00,8.882206,108882.2056
1/7/2024 4:00,Sell,44010.2,43592.1031,44714.3632,1,16:46:00,2:58:00,9.916587,109916.5865
1/7/2024 23:00,Buy,43697.4,44112.5253,42998.2416,1,4:23:00,2:58:00,10.960794,110960.7941
1/8/2024 20:00,Sell,47017.1,46570.43755,47769.3736,1,1:39:00,2:58:00,12.014922,112014.9216
1/10/2024 16:00,Buy,46481.2,46922.7714,45737.5008,-1,1:12:00,2:58:00,10.222683,110222.6829
1/11/2024 16:00,Sell,46574.1,46131.64605,47319.2856,1,1:58:00,2:58:00,11.269798,111269.7984
1/12/2024 16:00,Sell,43642.1,43227.50005,44340.3736,1,2:46:00,2:58:00,12.326861,112326.8615
1/14/2024 1:00,Sell,42684.5,42278.99725,43367.452,1,16:04:00,2:58:00,13.393967,113393.9666
1/15/2024 0:00,Sell,42382,41979.371,43060.112,-1,15:27:00,2:58:00,11.579663,111579.6632
1/15/2024 16:00,Sell,43015.7,42607.05085,43703.9512,1,3:15:00,2:58:00,12.63967,112639.67
1/15/2024 22:00,Buy,42611.2,43016.0064,41929.4208,1,7:48:00,2:58:00,13.709747,113709.7468
1/16/2024 16:00,Buy,42996,43404.462,42308.064,1,2:22:00,2:58:00,14.789989,114789.9894
1/17/2024 0:00,Buy,42990.4,43398.8088,42302.5536,-1,13:45:00,2:58:00,12.95335,112953.3496
1/17/2024 20:00,Sell,42675.7,42270.28085,43358.5112,1,17:38:00,2:58:00,14.026406,114026.4064
1/18/2024 18:00,Sell,41050.8,40660.8174,41707.6128,1,19:25:00,2:58:00,15.109657,115109.6573
1/19/2024 4:00,Buy,41482.9,41876.98755,40819.1736,-1,8:30:00,2:58:00,13.267903,113267.9028
1/20/2024 0:00,Sell,41617.9,41222.52995,42283.7864,1,48:16:00,2:58:00,14.343948,114343.9478
1/20/2024 8:00,Buy,41536.1,41930.69295,40871.5224,-1,41:56:00,2:58:00,12.514445,112514.4447
1/22/2024 17:00,Sell,39740.7,39363.16335,40376.5512,1,12:52:00,2:58:00,13.583332,113583.3319
1/23/2024 16:00,Sell,39189.5,38817.19975,39816.532,-1,4:53:00,2:58:00,11.765999,111765.9986
1/24/2024 16:00,Buy,39731.6,40109.0502,39095.8944,1,4:22:00,2:58:00,12.827776,112827.7756
1/25/2024 12:00,Sell,39998,39618.019,40637.968,1,0:55:00,2:58:00,13.899639,113899.6394
1/26/2024 0:00,Sell,40137.5,39756.19375,40779.7,-1,8:04:00,2:58:00,12.077245,112077.2452
1/26/2024 16:00,Sell,42056.7,41657.16135,42729.6072,1,12:02:00,2:58:00,13.141979,113141.979
1/27/2024 0:00,Buy,41833,42230.4135,41163.672,1,22:29:00,2:58:00,14.216828,114216.8278
1/28/2024 0:00,Buy,42080.9,42480.66855,41407.6056,1,1:32:00,2:58:00,15.301888,115301.8877
1/28/2024 16:00,Sell,41981.2,41582.3786,42652.8992,-1,21:02:00,2:58:00,13.457058,113457.0575
1/30/2024 8:00,Sell,43464.2,43051.2901,44159.6272,1,12:28:00,2:58:00,14.5349,114534.8996
1/30/2024 16:00,Buy,43335.1,43746.78345,42641.7384,1,1:32:00,2:58:00,15.622981,115622.9811
1/31/2024 16:00,Sell,43485.4,43072.2887,44181.1664,1,0:33:00,2:58:00,16.721399,116721.3994
2/1/2024 4:00,Buy,42156.2,42556.6839,41481.7008,1,7:52:00,2:58:00,17.830253,117830.2527
2/3/2024 0:00,Sell,43150.5,42740.57025,43840.908,1,27:58:00,2:58:00,18.94964,118949.6401
2/5/2024 8:00,Sell,43118.2,42708.5771,43808.0912,1,4:45:00,2:58:00,20.079662,120079.6617
2/7/2024 8:00,Buy,42853,43260.1035,42167.352,1,3:48:00,2:58:00,21.220418,121220.4185
2/8/2024 0:00,Sell,44593.8,44170.1589,45307.3008,-1,12:23:00,2:58:00,19.280892,119280.8918
2/8/2024 16:00,Buy,45288.8,45719.0436,44564.1792,1,7:20:00,2:58:00,20.41406,120414.0603
2/9/2024 9:00,Buy,47107.3,47554.81935,46353.5832,1,0:10:00,2:58:00,21.557994,121557.9938
2/10/2024 22:00,Sell,47697.8,47244.6709,48460.9648,-1,2:38:00,2:58:00,19.613066,119613.0659
2/11/2024 21:00,Buy,48268.9,48727.45455,47496.5976,1,0:30:00,2:58:00,20.74939,120749.3901
2/13/2024 0:00,Sell,49991.7,49516.77885,50791.5672,1,10:38:00,2:58:00,21.896509,121896.5093
2/14/2024 0:00,Buy,49491.1,49961.26545,48699.2424,1,5:52:00,2:58:00,23.054526,123054.5261
2/14/2024 10:00,Sell,51715.8,51224.4999,52543.2528,1,3:23:00,2:58:00,24.223544,124223.5441
2/16/2024 0:00,Sell,52160.7,51665.17335,52995.2712,1,6:11:00,2:58:00,25.403668,125403.6678
2/17/2024 0:00,Buy,51953.6,52447.1592,51122.3424,-1,10:36:00,2:58:00,23.397209,123397.2091
2/17/2024 16:00,Buy,51293.7,51780.99015,50473.0008,1,2:25:00,2:58:00,24.569483,124569.4826
2/18/2024 1:00,Sell,51494.8,51005.5994,52318.7168,-1,18:15:00,2:58:00,22.576371,122576.3708
2/18/2024 23:00,Sell,52094.2,51599.3051,52927.7072,1,22:44:00,2:58:00,23.740846,123740.8464
2/19/2024 18:00,Buy,51821.1,52313.40045,50991.9624,1,14:05:00,2:58:00,24.916384,124916.3844
2/21/2024 0:00,Sell,52090,51595.145,52923.44,1,4:09:00,2:58:00,26.10309,126103.0901
2/22/2024 8:00,Sell,51710,51218.755,52537.36,1,2:19:00,2:58:00,27.301069,127301.0694
2/24/2024 5:00,Sell,51099.5,50614.05475,51917.092,-1,18:28:00,2:58:00,25.264252,125264.2523
2/25/2024 8:00,Sell,51617.9,51127.52995,52443.7864,1,22:23:00,2:58:00,26.454263,126454.2627
2/26/2024 17:00,Sell,54439.8,53922.6219,55310.8368,-1,5:46:00,2:58:00,24.430994,124430.9945
2/27/2024 2:00,Sell,55712.5,55183.23125,56603.9,-1,4:33:00,2:58:00,22.440099,122440.0986
2/28/2024 13:00,Sell,60881.6,60303.2248,61855.7056,-1,0:38:00,2:58:00,20.481057,120481.057
2/29/2024 16:00,Buy,60973,61552.2435,59997.432,1,0:51:00,2:58:00,21.625627,121625.6271
2/29/2024 22:00,Buy,61603.9,62189.13705,60618.2376,1,7:40:00,2:58:00,22.781071,122781.0705
3/1/2024 8:00,Buy,62075,62664.7125,61081.8,1,2:23:00,2:58:00,23.947491,123947.4907
3/1/2024 11:00,Buy,62483.4,63076.9923,61483.6656,-1,1:49:00,2:58:00,21.964331,121964.3308
3/1/2024 19:00,Buy,62666.4,63261.7308,61663.7376,-1,16:05:00,2:58:00,20.012902,120012.9015
3/2/2024 16:00,Sell,62082.3,61492.51815,63075.6168,1,12:30:00,2:58:00,21.153024,121153.0241
3/3/2024 19:00,Sell,62862.6,62265.4053,63868.4016,-1,2:31:00,2:58:00,19.214576,119214.5757
3/4/2024 8:00,Sell,65151.9,64532.95695,66194.3304,-1,3:43:00,2:58:00,17.307143,117307.1425
3/4/2024 21:00,Buy,68320,68969.04,67226.88,-1,4:54:00,2:58:00,15.430228,115430.2282
3/5/2024 10:00,Sell,67388.6,66748.4083,68466.8176,-1,1:46:00,2:58:00,13.583345,113583.3446
3/5/2024 20:00,Buy,63351.6,63953.4402,62337.9744,1,0:41:00,2:58:00,14.662386,114662.3863
3/7/2024 14:00,Sell,67310.1,66670.65405,68387.0616,-1,21:36:00,2:58:00,12.827788,112827.7882
3/8/2024 15:00,Sell,68505.5,67854.69775,69601.588,1,3:58:00,2:58:00,13.899652,113899.6522
3/8/2024 20:00,Buy,68286.5,68935.22175,67193.916,1,26:13:00,2:58:00,14.981699,114981.6988
3/10/2024 1:00,Sell,69200.2,68542.7981,70307.4032,1,18:57:00,2:58:00,16.074025,116074.025
3/11/2024 8:00,Sell,71580.1,70900.08905,72725.3816,-1,4:37:00,2:58:00,14.216841,114216.8406
3/12/2024 17:00,Sell,71402.5,70724.17625,72544.94,1,0:35:00,2:58:00,15.301901,115301.9006
3/13/2024 0:00,Buy,72043.1,72727.50945,70890.4104,1,3:38:00,2:58:00,16.397269,116397.2686
3/13/2024 3:00,Buy,72249.9,72936.27405,71093.9016,1,1:11:00,2:58:00,17.503043,117503.0427
3/13/2024 19:00,Buy,73290.5,73986.75975,72117.852,-1,15:37:00,2:58:00,15.622994,115622.994
3/14/2024 16:00,Sell,70040.1,69374.71905,71160.7416,1,0:32:00,2:58:00,16.721412,116721.4124
3/15/2024 4:00,Buy,68558.7,69210.00765,67461.7608,-1,1:47:00,2:58:00,14.85387,114853.8698
3/15/2024 20:00,Buy,69168.8,69825.9036,68062.0992,1,1:08:00,2:58:00,15.944982,115944.9816
3/16/2024 19:00,Sell,66357.6,65727.2028,67419.3216,1,1:12:00,2:58:00,17.046459,117046.4589
3/17/2024 2:00,Sell,66403.9,65773.06295,67466.3624,1,1:36:00,2:58:00,18.1584,118158.4003
