Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
2024-01,0.009,0.009,38,19,19,0.5,-2.7752205130366203,97224.77948696338
2024-01,0.01,0.01,34,17,17,0.5,-2.518251123165886,97481.74887683411
2024-01,0.011,0.011,34,18,16,0.5294117647058824,-0.3853723842163599,99614.62761578364
2024-01,0.012,0.012,34,18,16,0.5294117647058824,-0.224942193138093,99775.0578068619
2024-01,0.013,0.013,34,16,18,0.47058823529411764,-5.131611498948158,94868.38850105184
2024-01,0.014,0.014,34,16,18,0.47058823529411764,-5.364648727271968,94635.35127272803
2024-02,0.009,0.009,27,15,12,0.5555555555555556,0.7027848781194334,100702.78487811943
2024-02,0.01,0.01,27,15,12,0.5555555555555556,0.9794673233615322,100979.46732336153
2024-02,0.011,0.011,27,15,12,0.5555555555555556,1.2541813130103985,101254.1813130104
2024-02,0.012,0.012,27,15,12,0.5555555555555556,1.5269071027182946,101526.9071027183
2024-02,0.013,0.013,26,15,11,0.5769230769230769,3.2106617041529386,103210.66170415294
2024-02,0.014,0.014,26,15,11,0.5769230769230769,3.588034307795708,103588.03430779571
2024-03,0.009,0.009,46,26,20,0.5652173913043478,2.0131673442855975,102013.1673442856
2024-03,0.01,0.01,45,24,21,0.5333333333333333,-0.37485958498920086,99625.1404150108
2024-03,0.011,0.011,44,23,21,0.5227272727272727,-1.1402152682387967,98859.7847317612
2024-03,0.012,0.012,43,21,22,0.4883720930232558,-4.419660026316371,95580.33997368363
2024-03,0.013,0.013,41,20,21,0.4878048780487805,-4.416643092223705,95583.3569077763
2024-03,0.014,0.014,41,21,20,0.5121951219512195,-1.8549231388176415,98145.07686118236
2024-04,0.009,0.009,39,22,17,0.5641025641025641,1.6246557434910793,101624.65574349108
2024-04,0.01,0.01,39,21,18,0.5384615384615384,0.07455235885478033,100074.55235885478
2024-04,0.011,0.011,38,21,17,0.5526315789473685,1.5211661254646898,101521.16612546469
2024-04,0.012,0.012,38,21,17,0.5526315789473685,1.8835792478390214,101883.57924783902
2024-04,0.013,0.013,38,23,15,0.6052631578947368,7.701042330081807,107701.04233008181
2024-04,0.014,0.014,38,23,15,0.6052631578947368,8.5105743302989,108510.5743302989
2024-05,0.009,0.009,42,25,17,0.5952380952380952,4.174249111094337,104174.24911109434
2024-05,0.01,0.01,42,25,17,0.5952380952380952,4.969166635707399,104969.1666357074
2024-05,0.011,0.011,41,23,18,0.5609756097560976,2.410147828374742,102410.14782837474
2024-05,0.012,0.012,39,24,15,0.6153846153846154,8.100517461435768,108100.51746143577
2024-05,0.013,0.013,37,24,13,0.6486486486486487,12.07251438004982,112072.51438004982
2024-05,0.014,0.014,37,21,16,0.5675675675675675,4.1303039852947405,104130.30398529474
2024-06,0.009,0.009,35,16,19,0.45714285714285713,-5.1547303733121375,94845.26962668786
2024-06,0.01,0.01,35,17,18,0.4857142857142857,-3.5606138132127234,96439.38618678728
2024-06,0.011,0.011,35,18,17,0.5142857142857142,-1.550086642801747,98449.91335719825
2024-06,0.012,0.012,35,17,18,0.4857142857142857,-3.827413645766472,96172.58635423353
2024-06,0.013,0.013,34,15,19,0.4411764705882353,-7.566535586833008,92433.46441316699
2024-06,0.014,0.014,33,15,18,0.45454545454545453,-6.605884669007253,93394.11533099275
2024-07,0.009,0.009,40,24,16,0.6,4.328676083149869,104328.67608314987
2024-07,0.01,0.01,39,21,18,0.5384615384615384,0.07455235885478033,100074.55235885478
2024-07,0.011,0.011,38,20,18,0.5263157894736842,-0.6879987160390155,99312.00128396098
2024-07,0.012,0.012,38,20,18,0.5263157894736842,-0.5326321177224308,99467.36788227757
2024-07,0.013,0.013,37,20,17,0.5405405405405406,1.0019933061479969,101001.993306148
2024-07,0.014,0.014,37,20,17,0.5405405405405406,1.2549109758388222,101254.91097583882
