Datetime,Event,Date,Time,Cur.,Imp.,Actual,Forecast,Previous
2024-01-09 17:00:00,Fed Vice Chair for Supervision Barr Speaks,,,,,,,
2024-01-09 17:00:00,EIA Short-Term Energy Outlook,,,,,,,
2024-01-09 18:00:00,3-Year Note Auction,,,,,,,
2024-01-09 21:30:00,API Weekly Crude Oil Stock,,,,,,,
2024-01-10 12:00:00,Mortgage Refinance Index,,,,,,,
2024-01-10 12:00:00,Mortgage Market Index,,,,,,,
2024-01-10 12:00:00,MBA Purchase Index,,,,,,,
2024-01-10 12:00:00,MBA Mortgage Applications (WoW),,,,,,,
2024-01-10 12:00:00,MBA 30-Year Mortgage Rate,,,,,,,
2024-01-10 15:00:00,Thomson Reuters IPSOS PCSI (Jan),,,,,,,
2024-01-10 15:00:00,Wholesale Inventories (MoM) (Nov),,,,,,,
2024-01-10 15:00:00,Wholesale Trade Sales (MoM) (Nov),,,,,,,
2024-01-10 15:30:00,Crude Oil Inventories,,,,,,,
2024-01-10 15:30:00,EIA Refinery Crude Runs (WoW),,,,,,,
2024-01-10 15:30:00,Crude Oil Imports,,,,,,,
2024-01-10 15:30:00,Cushing Crude Oil Inventories,,,,,,,
2024-01-10 15:30:00,EIA Weekly Distillates Stocks,,,,,,,
2024-01-10 15:30:00,Gasoline Inventories,,,,,,,
2024-01-10 15:30:00,Gasoline Production,,,,,,,
2024-01-10 15:30:00,Heating Oil Stockpiles,,,,,,,
2024-01-10 15:30:00,EIA Weekly Refinery Utilization Rates (WoW),,,,,,,
2024-01-10 15:30:00,Distillate Fuel Production,,,,,,,
2024-01-10 18:00:00,10-Year Note Auction,,,,,,,
2024-01-10 18:00:00,Atlanta Fed GDPNow (Q4),,,,,,,
2024-01-10 20:15:00,FOMC Member Williams Speaks,,,,,,,
2024-01-11 13:30:00,CPI (MoM) (Dec),,,,,,,
2024-01-11 13:30:00,Core CPI (YoY) (Dec),,,,,,,
2024-01-11 13:30:00,Core CPI (MoM) (Dec),,,,,,,
2024-01-11 13:30:00,Core CPI Index (Dec),,,,,,,
2024-01-11 13:30:00,Continuing Jobless Claims,,,,,,,
2024-01-11 13:30:00,CPI (YoY) (Dec),,,,,,,
2024-01-11 13:30:00,"CPI Index, s.a (Dec)",,,,,,,
2024-01-11 13:30:00,"CPI, n.s.a (MoM) (Dec)",,,,,,,
