DateTime,Event
1/2/2024 18:00,Atlanta Fed GDPNow (Q4)
1/3/2024 15:00,ISM Manufacturing PMI (Dec)
1/3/2024 18:00,Atlanta Fed GDPNow (Q4)
1/5/2024 13:30,Unemployment Rate (Dec)
1/5/2024 13:30,Nonfarm Payrolls (Dec)
1/5/2024 13:30,Average Hourly Earnings (YoY) (YoY) (Dec)
1/5/2024 13:30,Average Hourly Earnings (MoM) (Dec)
1/5/2024 15:00,ISM Non-Manufacturing PMI (Dec)
1/9/2024 16:30,Atlanta Fed GDPNow (Q4)
1/10/2024 18:00,Atlanta Fed GDPNow (Q4)
1/11/2024 13:30,CPI (MoM) (Dec)
1/11/2024 13:30,Core CPI Index (Dec)
1/11/2024 13:30,Core CPI (MoM) (Dec)
1/11/2024 13:30,Core CPI (YoY) (Dec)
1/11/2024 13:30,CPI (YoY) (Dec)
1/17/2024 13:30,Core Retail Sales (MoM) (Dec)
1/17/2024 13:30,Retail Sales (YoY) (Dec)
1/17/2024 13:30,Retail Sales (MoM) (Dec)
1/17/2024 18:00,Atlanta Fed GDPNow (Q4)
1/18/2024 16:30,Atlanta Fed GDPNow (Q4)
1/25/2024 13:30,Durable Goods Orders (MoM) (Dec)
1/25/2024 13:30,Core Durable Goods Orders (MoM) (Dec)
1/25/2024 15:00,New Home Sales (Dec)
1/25/2024 15:00,New Home Sales (MoM) (Dec)
1/26/2024 13:30,Core PCE Price Index (YoY) (Dec)
1/26/2024 13:30,Core PCE Price Index (MoM) (Dec)
1/26/2024 13:30,PCE Price index (YoY) (Dec)
1/26/2024 13:30,PCE price index (MoM) (Dec)
1/26/2024 16:30,Atlanta Fed GDPNow (Q1)
1/31/2024 19:00,Fed Interest Rate Decision
2/1/2024 15:00,ISM Manufacturing PMI (Jan)
2/1/2024 17:45,Atlanta Fed GDPNow (Q1)
2/1/2024 19:30,FOMC Press Conference
2/2/2024 13:30,Unemployment Rate (Jan)
2/2/2024 13:30,Average Hourly Earnings (YoY) (YoY) (Jan)
2/2/2024 13:30,Average Hourly Earnings (MoM) (Jan)
2/2/2024 13:30,Nonfarm Payrolls (Jan)
2/5/2024 15:00,ISM Non-Manufacturing PMI (Jan)
2/7/2024 16:30,Atlanta Fed GDPNow (Q1)
2/8/2024 18:00,Atlanta Fed GDPNow (Q1)
2/13/2024 13:30,Core CPI (MoM) (Jan)
2/13/2024 13:30,CPI (YoY) (Jan)
2/13/2024 13:30,Core CPI Index (Jan)
2/13/2024 13:30,Core CPI (YoY) (Jan)
2/13/2024 13:30,CPI (MoM) (Jan)
2/15/2024 13:30,Retail Sales (YoY) (Jan)
2/15/2024 13:30,Retail Sales (MoM) (Jan)
2/15/2024 13:30,Core Retail Sales (MoM) (Jan)
2/15/2024 18:00,Atlanta Fed GDPNow (Q1)
2/16/2024 16:30,Atlanta Fed GDPNow (Q1)
2/22/2024 15:00,Existing Home Sales (MoM) (Jan)
2/22/2024 15:00,Existing Home Sales (Jan)
2/26/2024 15:00,New Home Sales (Jan)
2/26/2024 15:00,New Home Sales (MoM) (Jan)
2/27/2024 13:30,Core Durable Goods Orders (MoM) (Jan)
2/27/2024 13:30,Durable Goods Orders (MoM) (Jan)
