Signal Strength: Strong,,,,,,,,,,,,,,,,,,,,,,,,,
Order Execution: Immediately,,,,,,,,,,,,,,,,,,,,,,,,,
Investment,100000,,,,,,,,,,,,,,,,,,,,,,,,
Leverage,1,,,,,,,,,,,Jan,Feb,Mar,Apr,May,June,Total,,,,,,,
TP,0.009,,,,,,,,,,,,,,,,,,,,,,,,
SL,-0.0142,,,,,,,,,,,,,,,,,,,,,,,,
date,time,side,result,return,nav,cum_roi,bars 15,duration m,duration H,,Total Trades,38,27,45,37,38,32,217,,0,1,1,1,1,0
13-Feb,0,Sell,1,0.90%,111005.1289,11.01%,54,810,13.5,,,,,,,,,,,,,,,,
14-Feb,0,Buy,1,0.90%,112004.1751,12.00%,35,525,8.75,,,,,,,,,,,,,,,,
14-Feb,10,Sell,1,0.90%,113012.2126,13.01%,4,60,1,,,,,,,,,,,,,,,,
16-Feb,0,Sell,1,0.90%,114029.3226,14.03%,149,2235,37.25,,,,,,,,,,,,,,,,
17-Feb,0,Buy,0,-1.42%,112410.1062,12.41%,54,810,13.5,,,,,,,,,,,,,,,,
17-Feb,16,Buy,1,0.90%,113421.7971,13.42%,13,195,3.25,,,,,,,,,,,,,,,,
18-Feb,1,Sell,1,0.90%,114442.5933,14.44%,7,105,1.75,,,,,,,,,,,,,,,,
18-Feb,23,Sell,1,0.90%,115472.5767,15.47%,71,1065,17.75,,,,,,,,,,,,,,,,
19-Feb,18,Buy,1,0.90%,116511.8298,16.51%,78,1170,19.5,,,,,,,,,,,,,,,,
21-Feb,0,Sell,1,0.90%,117560.4363,17.56%,18,270,4.5,,,,,,,,,,,,,,,,
22-Feb,8,Sell,1,0.90%,118618.4802,18.62%,20,300,5,,,,,,,,,,,,,,,,
24-Feb,5,Sell,0,-1.42%,116934.0978,16.93%,84,1260,21,,,,,,,,,,,,,,,,
25-Feb,8,Sell,1,0.90%,117986.5047,17.99%,35,525,8.75,,,,,,,,,,,,,,,,
26-Feb,17,Sell,0,-1.42%,116311.0963,16.31%,9,135,2.25,,,,,,,,,,,,,,,,
27-Feb,2,Sell,0,-1.42%,114659.4788,14.66%,1,15,0.25,,,,,,,,,,,,,,,,
28-Feb,13,Sell,0,-1.42%,113031.3142,13.03%,3,45,0.75,,,,,,,,,,,,,,,,
29-Feb,16,Buy,0,-1.42%,111426.2695,11.43%,3,45,0.75,,,,,,,,,,,,,,,,
29-Feb,22,Buy,1,0.90%,112429.1059,12.43%,33,495,8.25,,,,,,,,,,,,,,,,
1-Mar,8,Buy,1,0.90%,113440.9679,13.44%,3,45,0.75,,,,,,,,,,,,,,,,
1-Mar,11,Buy,1,0.90%,114461.9366,14.46%,6,90,1.5,,,,,,,,,,,,,,,,
1-Mar,19,Buy,1,0.90%,115492.094,15.49%,7,105,1.75,,,,,,,,,,,,,,,,
2-Mar,16,Sell,0,-1.42%,113852.1063,13.85%,98,1470,24.5,,,,,,,,,,,,,,,,
3-Mar,19,Sell,0,-1.42%,112235.4064,12.24%,21,315,5.25,,,,,,,,,,,,,,,,
4-Mar,8,Sell,0,-1.42%,110641.6636,10.64%,3,45,0.75,,,,,,,,,,,,,,,,
4-Mar,21,Buy,1,0.90%,111637.4386,11.64%,8,120,2,,,,,,,,,,,,,,,,
