Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
2023-06,0.012,0.009,35,14,21,0.4,-4.625670078557276,95374.32992144272
2023-07,0.012,0.009,25,9,16,0.36,-5.332402401431769,94667.59759856823
2023-08,0.012,0.009,22,11,11,0.5,1.6497502749650592,101649.75027496506
2023-09,0.012,0.009,25,11,14,0.44,-1.2777438164589985,98722.256183541
2023-10,0.012,0.009,29,16,13,0.5517241379310345,5.445415781492411,105445.41578149241
2023-11,0.012,0.009,24,11,13,0.4583333333333333,-0.3114023364276364,99688.59766357236
2023-12,0.012,0.009,25,13,12,0.52,2.950577739347791,102950.57773934779
2024-01,0.012,0.009,27,14,13,0.5185185185185185,3.103834401916509,103103.83440191651
2024-02,0.012,0.009,16,8,8,0.5,1.1971379152424924,101197.13791524249
2024-03,0.012,0.009,35,17,18,0.4857142857142857,1.5668711290313801,101566.87112903138
2024-04,0.012,0.009,31,17,14,0.5483870967741935,5.602386367386207,105602.3863673862
2024-05,0.012,0.009,28,14,14,0.5,2.1043869799646493,102104.38697996465
2024-06,0.012,0.009,26,13,13,0.5,1.9526159263181617,101952.61592631816
2024-07,0.012,0.009,28,16,12,0.5714285714285714,6.477566819039275,106477.56681903928
