Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
2023-06,0.011,0.01,19,8,11,0.42105263157894735,-3.1896119286213795,96810.38807137862
2023-07,0.011,0.01,13,10,3,0.7692307692307693,7.266532298540347,107266.53229854035
2023-08,0.011,0.01,12,6,6,0.5,-0.18209837928198977,99817.90162071801
2023-09,0.011,0.01,16,8,8,0.5,-0.40771529816555263,99592.28470183445
2023-10,0.011,0.01,17,10,7,0.5882352941176471,2.7516354094121924,102751.63540941219
2023-11,0.011,0.01,15,6,9,0.4,-4.219660890458879,95780.33910954112
2023-12,0.011,0.01,16,9,7,0.5625,1.7969327295677358,101796.93272956774
2024-01,0.011,0.01,17,11,6,0.6470588235294118,4.864697384163868,104864.69738416387
2024-02,0.011,0.01,14,8,6,0.5714285714285714,1.9763810077688102,101976.38100776881
2024-03,0.011,0.01,24,14,10,0.5833333333333334,3.6502765430865116,103650.27654308651
2024-04,0.011,0.01,19,12,7,0.631578947368421,4.312125515274616,104312.12551527462
2024-05,0.011,0.01,20,12,8,0.6,4.05731144647178,104057.31144647178
2024-06,0.011,0.01,21,12,9,0.5714285714285714,2.3055959832160005,102305.595983216
2024-07,0.011,0.01,24,14,10,0.5833333333333334,3.312188913706588,103312.18891370659
