Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
2023-06,0.012,0.01,35,16,19,0.45714285714285713,-2.4304104816040195,97569.58951839598
2023-07,0.012,0.01,23,9,14,0.391304347826087,-4.824811216589282,95175.18878341072
2023-08,0.012,0.01,22,11,11,0.5,0.5271238501553308,100527.12385015533
2023-09,0.012,0.01,25,12,13,0.48,-0.5002586994071171,99499.74130059288
2023-10,0.012,0.01,26,17,9,0.6538461538461539,9.870137134365867,109870.13713436587
2023-11,0.012,0.01,23,11,12,0.4782608695652174,-0.5478027329890902,99452.19726701091
2023-12,0.012,0.01,25,14,11,0.56,3.971087699779964,103971.08769977996
2024-01,0.012,0.01,27,14,13,0.5185185185185185,1.7594704644363228,101759.47046443632
2024-02,0.012,0.01,16,8,8,0.5,0.3830878513174684,100383.08785131747
2024-03,0.012,0.01,34,18,16,0.5294117647058824,3.056167630467942,103056.16763046794
2024-04,0.012,0.01,30,17,13,0.5666666666666667,5.245653339407029,105245.65333940703
2024-05,0.012,0.01,28,14,14,0.5,0.6713665209476022,100671.3665209476
2024-06,0.012,0.01,26,14,12,0.5384615384615384,2.8593351521439616,102859.33515214396
2024-07,0.012,0.01,28,16,12,0.5714285714285714,5.195363732506303,105195.3637325063
