Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
2023-06,0.012,0.011,35,17,18,0.4857142857142857,-2.060125813476625,97939.87418652338
2023-07,0.012,0.011,22,9,13,0.4090909090909091,-5.05176796497358,94948.23203502642
2023-08,0.012,0.011,20,11,9,0.55,1.7819763042057895,101781.97630420579
2023-09,0.012,0.011,25,12,13,0.48,-1.7989316538320272,98201.06834616797
2023-10,0.012,0.011,26,17,9,0.6538461538461539,8.875343842727759,108875.34384272776
2023-11,0.012,0.011,23,11,12,0.4782608695652174,-1.7466092923742835,98253.39070762572
2023-12,0.012,0.011,25,14,11,0.56,2.8216702640244766,102821.67026402448
2024-01,0.012,0.011,27,16,11,0.5925925925925926,5.156843440693978,105156.84344069398
2024-02,0.012,0.011,16,8,8,0.5,-0.42522660679306135,99574.77339320694
2024-03,0.012,0.011,34,18,16,0.5294117647058824,1.4031719579433994,101403.1719579434
2024-04,0.012,0.011,30,17,13,0.5666666666666667,3.87198460644258,103871.98460644258
2024-05,0.012,0.011,27,15,12,0.5555555555555556,2.7669151806782466,102766.91518067825
2024-06,0.012,0.011,26,15,11,0.5769230769230769,3.9827018415307536,103982.70184153075
2024-07,0.012,0.011,27,16,11,0.5925925925925926,5.156843440693978,105156.84344069398
