Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
2023-06,0.012,0.01,19,8,11,0.42105263157894735,-2.4208981671215004,97579.1018328785
2023-07,0.012,0.01,13,10,3,0.7692307692307693,8.332261688200727,108332.26168820073
2023-08,0.012,0.01,12,6,6,0.5,0.4117595258565125,100411.75952585651
2023-09,0.012,0.01,16,8,8,0.5,0.3830878513175412,100383.08785131754
2023-10,0.012,0.01,16,8,8,0.5,1.0337703346027847,101033.77033460278
2023-11,0.012,0.01,15,6,9,0.4,-3.6498241115494894,96350.17588845051
2023-12,0.012,0.01,16,9,7,0.5625,2.706730543086247,102706.73054308625
2024-01,0.012,0.01,17,11,6,0.6470588235294118,6.011317995897131,106011.31799589713
2024-02,0.012,0.01,14,8,6,0.5714285714285714,2.7861148492531647,102786.11484925316
2024-03,0.012,0.01,24,12,12,0.5,0.5751817622334929,100575.1817622335
2024-04,0.012,0.01,19,12,7,0.631578947368421,5.5570094934056975,105557.0094934057
2024-05,0.012,0.01,20,12,8,0.6,5.299154417144833,105299.15441714483
2024-06,0.012,0.01,21,11,10,0.5238095238095238,1.275956776835199,101275.9567768352
2024-07,0.012,0.01,24,14,10,0.5833333333333334,4.752057020251013,104752.05702025101
