day_of_week,-1,1,Ignored,Not Filled,ended before data with loss,ended before data with profit
Friday,9.0,10.0,19.0,4.0,1.0,1.0
Monday,14.0,14.0,12.0,1.0,0.0,0.0
Saturday,11.0,8.0,5.0,11.0,0.0,0.0
Sunday,15.0,11.0,7.0,6.0,0.0,0.0
Thursday,10.0,11.0,16.0,0.0,2.0,0.0
Tuesday,6.0,9.0,8.0,4.0,1.0,0.0
Wednesday,6.0,10.0,8.0,5.0,1.0,0.0
