"",Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
0,2024-02-01 05:00:00,Buy,42105.1,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100000,Signal around economic event,0.000000
1,2024-02-03 01:00:00,Buy,43222.3,43200.68885,43805.498494,42768.681962,-1,28:39:00,00:01:00,-1.06929,98930.7099,"",-1.069290
2,2024-02-04 05:00:00,Buy,42893.0,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,98930.7099,One open trade with the same side,0.000000
3,2024-02-05 09:00:00,Sell,42983.8,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,98930.7099,Signal around economic event,0.000000
4,2024-02-07 09:00:00,Buy,43168.5,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,98930.7099,Signal around economic event,0.000000
5,2024-02-08 01:00:00,Sell,44583.2,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,98930.7099,Signal around economic event,0.000000
6,2024-02-08 17:00:00,Buy,45056.6,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,98930.7099,Signal around economic event,0.000000
7,2024-02-09 01:00:00,Buy,45347.4,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,98930.7099,"",0.000000
8,2024-02-10 23:00:00,Sell,47760.9,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,98930.7099,"",0.000000
9,2024-02-11 22:00:00,Buy,48181.4,48157.30930,48831.511630,47675.736207,1,01:38:00,00:03:00,1.32903,100245.528852,"",1.329030
10,2024-02-13 01:00:00,Sell,50023.5,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100245.528852,Signal around economic event,0.000000
11,2024-02-14 01:00:00,Buy,49405.0,49380.29750,50071.621665,48886.494525,1,07:00:00,00:02:00,1.32903,101577.822145,"",0.245529
12,2024-02-14 11:00:00,Sell,51390.3,51415.99515,50696.171218,51930.155102,-1,02:41:00,00:00:00,-1.06929,100491.660549,"",0.245529
13,2024-02-16 01:00:00,Sell,51980.2,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100491.660549,Signal around economic event,0.000000
14,2024-02-16 05:00:00,Sell,52113.6,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,100491.660549,Signal around economic event,0.000000
15,2024-02-17 01:00:00,Buy,51893.1,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,100491.660549,"",1.329030
16,2024-02-17 17:00:00,Buy,51282.9,51257.25855,51974.860170,50744.685965,1,03:44:00,00:00:00,1.32903,101827.225006,"",1.329030
17,2024-02-18 02:00:00,Sell,51285.9,51311.54295,50593.181349,51824.658379,-1,05:58:00,00:08:00,-1.06929,100738.39657,"",-1.069290
18,2024-02-19 00:00:00,Sell,52297.4,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0,100738.39657,"",2.675723
19,2024-02-19 09:00:00,Sell,52365.3,52391.48265,51658.001893,52915.397477,1,14:20:00,00:30:00,1.32903,102077.240222,"",2.675723
20,2024-02-19 13:00:00,Sell,52158.4,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,102077.240222,One open trade with the same side,2.675723
21,2024-02-19 19:00:00,Buy,51864.4,51838.46780,52564.206349,51320.083122,1,17:43:00,00:01:00,1.32903,103433.877511,"",2.675723
22,2024-02-21 01:00:00,Sell,52128.5,52154.56425,51424.400350,52676.109892,1,07:28:00,00:00:00,1.32903,104808.544918,"",1.329030
23,2024-02-22 09:00:00,Sell,51999.8,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,104808.544918,Signal around economic event,0.000000
24,2024-02-24 06:00:00,Sell,50998.5,51023.99925,50309.663260,51534.239242,-1,10:41:00,00:08:00,-1.06929,103687.837523,"",-1.069290
25,2024-02-25 09:00:00,Sell,51661.8,51687.63090,50964.004067,52204.507209,1,23:51:00,00:12:00,1.32903,105065.880136,"",1.329030
26,2024-02-26 18:00:00,Sell,53587.1,53613.89355,52863.299040,54150.032485,-1,00:25:00,00:00:00,-1.06929,103942.421081,"",-1.069290
27,2024-02-27 03:00:00,Sell,56277.2,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0,103942.421081,Signal around economic event,0.000000
28,2024-02-28 14:00:00,Sell,60458.9,60489.12945,59642.281638,61094.020744,-1,00:07:00,00:00:00,-1.06929,102830.975063,"",-1.069290
29,2024-02-29 17:00:00,Buy,60859.4,60828.97030,61680.575884,60220.680597,1,02:03:00,00:00:00,1.32903,104197.629714,"",2.675723
30,2024-02-29 23:00:00,Buy,61464.4,61433.66780,62293.739149,60819.331122,1,08:51:00,00:00:00,1.32903,105582.447618,"",2.675723
