Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.009, SL=0.013, Method=time_offset, pctChange=None",2024-01,38,27,11,0.710526316,10.29356327,110293.5633,0
"TP=0.009, SL=0.013, Method=time_offset, pctChange=None",2024-02,27,19,8,0.703703704,6.774950769,117765.8979,0
"TP=0.009, SL=0.013, Method=time_offset, pctChange=None",2024-03,44,25,19,0.568181818,-2.432527057,114901.2106,89148.90022
"TP=0.009, SL=0.013, Method=time_offset, pctChange=None",2024-04,37,25,12,0.675675676,6.926410519,122859.7401,391.9191475
"TP=0.009, SL=0.013, Method=time_offset, pctChange=None",2024-05,38,25,13,0.657894737,5.536367182,129661.7064,0
"TP=0.009, SL=0.013, Method=time_offset, pctChange=None",2024-06,35,22,13,0.628571429,2.73741684,133211.0878,27163.40151
"TP=0.009, SL=0.013, Method=time_offset, pctChange=None ",Overall,219,143,76,0.652968037,33.2110878,133211.0878,0
"TP=0.009, SL=0.0135, Method=time_offset, pctChange=None",2024-01,38,27,11,0.710526316,9.680513199,109680.5132,30.46365134
"TP=0.009, SL=0.0135, Method=time_offset, pctChange=None",2024-02,27,19,8,0.703703704,6.342992005,116637.5394,0
"TP=0.009, SL=0.0135, Method=time_offset, pctChange=None",2024-03,44,25,19,0.568181818,-3.367356999,112709.937,113678.4849
"TP=0.009, SL=0.0135, Method=time_offset, pctChange=None",2024-04,37,25,12,0.675675676,6.278209957,119786.1035,555.0658545
"TP=0.009, SL=0.0135, Method=time_offset, pctChange=None",2024-05,38,26,12,0.684210526,7.234713847,128452.2853,0
"TP=0.009, SL=0.0135, Method=time_offset, pctChange=None",2024-06,35,23,12,0.657142857,4.390721325,134092.2672,6542.349852
"TP=0.009, SL=0.0135, Method=time_offset, pctChange=None ",Overall,219,145,74,0.662100457,34.09226723,134092.2672,30.46365134
"TP=0.009, SL=0.014, Method=time_offset, pctChange=None",2024-01,38,28,10,0.736842105,11.61480479,111614.8048,0
"TP=0.009, SL=0.014, Method=time_offset, pctChange=None",2024-02,27,19,8,0.703703704,5.912563069,118214.1005,0
