Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.05, SL=0.016, Method=percentage_change, pctChange=0.001",2024-01,38,11,27,0.2894736842105263,10.649625256517684,110649.62525651768,13918.131293715633
"TP=0.05, SL=0.016, Method=percentage_change, pctChange=0.001",2024-02,27,8,19,0.2962962962962963,8.747996050346174,120329.2501036807,0.0
"TP=0.05, SL=0.016, Method=percentage_change, pctChange=0.001",2024-03,44,8,36,0.18181818181818182,-17.331903818315396,99473.90021041057,580919.5395917476
"TP=0.05, SL=0.016, Method=percentage_change, pctChange=0.001",2024-04,37,10,27,0.2702702702702703,5.3805954823977675,104826.18839129679,3157.6994882792787
"TP=0.05, SL=0.016, Method=percentage_change, pctChange=0.001",2024-05,38,10,28,0.2631578947368421,3.694505954679435,108698.99816347673,7388.683218617327
"TP=0.05, SL=0.016, Method=percentage_change, pctChange=0.001",2024-06,35,10,23,0.2857142857142857,12.403608753840583,122181.59661501875,5104.396192170374
"TP=0.05, SL=0.016, Method=percentage_change, pctChange=0.001 ",Overall,219,57,160,0.2602739726027397,22.181596615018744,122181.59661501875,40730.05684948759
