Date,Start Date,End Date,Total Trades,Wins,Losses,WinRate,Final NAV,Daily Return,TP,SL,Entry Time Offset,Percentage Change
2024-07-02 08:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 09:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 10:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 11:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 12:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 13:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 14:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 15:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 16:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 17:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-02 18:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,2.271090491599025,0.011999999999999997,0.009,220,0.0011
2024-07-04 08:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,-0.9693600899999864,0.011999999999999997,0.009,220,0.0011
2024-07-04 09:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,-0.9693600899999864,0.011999999999999997,0.009,220,0.0011
2024-07-05 08:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,-0.9693600899999953,0.011999999999999997,0.009,220,0.0011
2024-07-05 09:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,-0.9693600899999953,0.011999999999999997,0.009,220,0.0011
2024-07-06 10:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,1.129170120000012,0.011999999999999997,0.009,220,0.0011
2024-07-06 11:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,1.129170120000012,0.011999999999999997,0.009,220,0.0011
2024-07-06 12:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,1.129170120000012,0.011999999999999997,0.009,220,0.0011
2024-07-07 00:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,0.14886430550853388,0.011999999999999997,0.009,220,0.0011
2024-07-07 01:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,0.14886430550853388,0.011999999999999997,0.009,220,0.0011
2024-07-07 08:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,0.14886430550853388,0.011999999999999997,0.009,220,0.0011
2024-07-07 09:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,0.14886430550853388,0.011999999999999997,0.009,220,0.0011
2024-07-07 10:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,0.14886430550853388,0.011999999999999997,0.009,220,0.0011
2024-07-07 12:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,0.14886430550853388,0.011999999999999997,0.009,220,0.0011
2024-07-07 13:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,0.14886430550853388,0.011999999999999997,0.009,220,0.0011
2024-07-08 01:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,1.1291701200000113,0.011999999999999997,0.009,220,0.0011
2024-07-08 02:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,1.1291701200000113,0.011999999999999997,0.009,220,0.0011
2024-07-09 05:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,-0.969360089999992,0.011999999999999997,0.009,220,0.0011
2024-07-09 06:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,-0.969360089999992,0.011999999999999997,0.009,220,0.0011
2024-07-09 07:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,-0.969360089999992,0.011999999999999997,0.009,220,0.0011
2024-07-10 00:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,1.1291701200000142,0.011999999999999997,0.009,220,0.0011
2024-07-10 01:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,1.1291701200000142,0.011999999999999997,0.009,220,0.0011
2024-07-11 08:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,4.593759503408375,0.011999999999999997,0.009,220,0.0011
2024-07-11 11:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,4.593759503408375,0.011999999999999997,0.009,220,0.0011
2024-07-11 12:00:00,2024-07-01,2024-08-01,39,20,19,0.5128205128205128,103965.77289189212,4.593759503408375,0.011999999999999997,0.009,220,0.0011
