"",Date,Optimized TP,Optimized SL,Time Offset,Percentage Change,ROI
0,2024-05-04 12:00:00,0.013,0.013,60,0.0012,1.22910
1,2024-05-05 12:00:00,0.009,0.009,80,0.0011,0.82938
2,2024-05-05 19:00:00,0.013,0.006,70,0.0013,1.22910
3,2024-05-06 05:00:00,0.013,0.006,30,0.0001,1.22910
4,2024-05-07 06:00:00,0.013,0.006,60,0.0011,1.22910
5,2024-05-08 21:00:00,0.013,0.007,60,0.0012,1.22910
6,2024-05-09 16:00:00,0.011,0.009,40,0.0009,1.02924
7,2024-05-10 13:00:00,0.005,0.006,30,0.0007,0.42966
8,2024-05-11 00:00:00,0.007,0.007,30,0.0005,0.62952
9,2024-05-11 11:00:00,0.003,0.012,40,0.0014,0.22980
10,2024-05-12 02:00:00,0.011,0.007,60,0.0011,1.02924
11,2024-05-12 21:00:00,0.010,0.007,100,0.0013,0.92931
12,2024-05-13 11:00:00,0.013,0.011,50,0.0013,1.22910
13,2024-05-15 19:00:00,0.013,0.010,70,0.0003,1.22910
14,2024-05-17 01:00:00,0.013,0.013,110,0.0005,1.22910
15,2024-05-17 17:00:00,0.013,0.004,110,0.0002,1.22910
16,2024-05-17 21:00:00,0.013,0.010,20,0.0004,1.22910
17,2024-05-18 13:00:00,0.006,0.009,80,0.0010,0.52959
18,2024-05-18 18:00:00,0.010,0.013,110,0.0008,0.92931
19,2024-05-18 21:00:00,0.008,0.013,110,0.0009,0.72945
20,2024-05-19 11:00:00,0.013,0.007,40,0.0013,1.22910
21,2024-05-20 02:00:00,0.013,0.008,60,0.0003,1.22910
22,2024-05-20 13:00:00,0.005,0.006,10,0.0013,0.42966
23,2024-05-20 17:00:00,0.010,0.003,100,0.0007,-0.36978
24,2024-05-20 22:00:00,0.013,0.009,90,0.0008,1.22910
25,2024-05-21 18:00:00,0.012,0.013,50,0.0007,1.12917
26,2024-05-21 22:00:00,0.003,0.005,110,0.0014,0.22980
27,2024-05-23 01:00:00,0.013,0.011,20,0.0004,1.22910
28,2024-05-23 04:00:00,0.013,0.010,10,0.0006,1.22910
29,2024-05-25 09:00:00,0.008,0.006,80,0.0005,0.72945
30,2024-05-25 20:00:00,0.011,0.013,50,0.0002,1.02924
31,2024-05-27 00:00:00,0.012,0.009,50,0.0002,1.12917
32,2024-05-27 09:00:00,0.006,0.004,30,0.0011,0.52959
33,2024-05-27 14:00:00,0.011,0.010,100,0.0009,1.02924
34,2024-05-29 15:00:00,0.013,0.005,80,0.0012,1.22910
35,2024-05-30 13:00:00,0.013,0.010,0,0.0014,1.22910
36,2024-05-31 17:00:00,0.013,0.004,40,0.0002,-0.46971
