"",Date,Optimized TP,Optimized SL,Time Offset,Percentage Change,ROI
0,2024-03-01 20:00:00,0.011,0.008,30,0.0013,1.02924
1,2024-03-02 17:00:00,0.012,0.003,100,0.0014,1.12917
2,2024-03-03 20:00:00,0.003,0.010,30,0.0003,0.22980
3,2024-03-04 09:00:00,0.012,0.012,40,0.0007,1.12917
4,2024-03-04 22:00:00,0.013,0.013,10,0.0005,1.22910
5,2024-03-05 21:00:00,0.013,0.013,70,0.0012,1.22910
6,2024-03-08 16:00:00,0.011,0.012,110,0.0010,1.02924
7,2024-03-08 21:00:00,0.013,0.010,80,0.0014,1.22910
8,2024-03-10 02:00:00,0.011,0.013,110,0.0012,1.02924
9,2024-03-11 09:00:00,0.009,0.013,60,0.0013,0.82938
10,2024-03-12 18:00:00,0.013,0.012,100,0.0005,1.22910
11,2024-03-13 01:00:00,0.013,0.007,60,0.0012,1.22910
12,2024-03-13 04:00:00,0.013,0.012,20,0.0008,1.22910
13,2024-03-13 20:00:00,0.011,0.011,50,0.0013,1.02924
14,2024-03-15 05:00:00,0.013,0.010,50,0.0008,1.22910
15,2024-03-15 21:00:00,0.013,0.013,40,0.0013,1.22910
16,2024-03-16 20:00:00,0.012,0.008,80,0.0007,1.12917
17,2024-03-17 03:00:00,0.013,0.010,50,0.0002,1.22910
18,2024-03-17 10:00:00,0.011,0.007,70,0.0004,1.02924
19,2024-03-17 19:00:00,0.011,0.006,40,0.0012,1.02924
20,2024-03-21 09:00:00,0.012,0.011,40,0.0006,1.12917
21,2024-03-21 19:00:00,0.011,0.006,10,0.0005,1.02924
22,2024-03-22 02:00:00,0.013,0.006,20,0.0011,1.22910
23,2024-03-22 17:00:00,0.012,0.011,20,0.0003,1.12917
24,2024-03-24 09:00:00,0.010,0.013,90,0.0013,0.92931
25,2024-03-24 17:00:00,0.005,0.011,0,0.0007,0.42966
26,2024-03-24 19:00:00,0.007,0.003,20,0.0014,-0.36978
27,2024-03-25 08:00:00,0.013,0.005,40,0.0010,1.22910
28,2024-03-25 10:00:00,0.011,0.013,110,0.0002,1.02924
29,2024-03-25 18:00:00,0.013,0.010,20,0.0012,1.22910
30,2024-03-27 01:00:00,0.013,0.012,100,0.0012,1.22910
31,2024-03-27 05:00:00,0.013,0.007,50,0.0003,1.22910
32,2024-03-27 11:00:00,0.003,0.012,90,0.0007,0.22980
33,2024-03-28 00:00:00,0.013,0.011,90,0.0004,1.22910
34,2024-03-28 13:00:00,0.013,0.012,80,0.0007,1.22910
35,2024-03-28 21:00:00,0.003,0.009,60,0.0010,0.22980
36,2024-03-30 01:00:00,0.013,0.013,30,0.0005,1.22910
37,2024-03-30 17:00:00,0.007,0.008,50,0.0004,0.62952
38,2024-03-31 21:00:00,0.013,0.009,100,0.0002,1.22910
