"",Date,Optimized TP,Optimized SL,Time Offset,Percentage Change,ROI
0,2024-02-04 05:00:00,0.006,0.009,30,0.0012,0.52959
1,2024-02-09 01:00:00,0.013,0.009,80,0.0011,1.22910
2,2024-02-10 23:00:00,0.007,0.005,0,0.0012,0.62952
3,2024-02-11 22:00:00,0.013,0.011,10,0.0006,1.22910
4,2024-02-14 01:00:00,0.013,0.004,60,0.0006,1.22910
5,2024-02-14 11:00:00,0.008,0.011,80,0.0012,0.72945
6,2024-02-17 01:00:00,0.003,0.009,40,0.0007,0.22980
7,2024-02-17 17:00:00,0.013,0.007,10,0.0002,1.22910
8,2024-02-18 02:00:00,0.005,0.003,10,0.0008,0.42966
9,2024-02-19 00:00:00,0.013,0.010,30,0.0014,1.22910
10,2024-02-19 09:00:00,0.013,0.003,80,0.0005,1.22910
11,2024-02-19 13:00:00,0.013,0.009,50,0.0004,1.22910
12,2024-02-19 19:00:00,0.013,0.008,70,0.0012,1.22910
13,2024-02-21 01:00:00,0.013,0.004,80,0.0002,1.22910
14,2024-02-22 09:00:00,0.013,0.008,0,0.0014,1.22910
15,2024-02-25 09:00:00,0.013,0.008,60,0.0007,1.22910
16,2024-02-26 18:00:00,0.005,0.011,30,0.0005,0.42966
17,2024-02-28 14:00:00,0.009,0.005,10,0.0003,0.82938
18,2024-02-29 17:00:00,0.012,0.007,50,0.0014,1.12917
19,2024-02-29 23:00:00,0.013,0.010,50,0.0007,1.22910
