Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,26,12,0.6842105263157895,4.0187195365381925,104018.71953653819,2495.4355197376426
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,1.6241387762510613,105708.12789509095,187.95568268868374
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,28,16,0.6363636363636364,-0.7171513563341158,104950.0406221359,90783.99115720807
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,24,13,0.6486486486486487,0.5366174439494881,105513.22084754636,63751.76919938187
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,26,12,0.6842105263157895,4.01871953653815,109753.50126737735,67176.38388756657
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,23,12,0.6571428571428571,1.2600190198272239,111136.41625827261,5463.063411139898
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,145,74,0.6621004566210046,11.136416258272613,111136.41625827261,5743.732700861874
