Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,27,11,0.7105263157894737,6.6614715572835115,106661.47155728351,536.5095933376288
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,1.6241387762510895,108393.80187616538,192.7309795049223
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,26,18,0.5909090909090909,-5.576065267575603,102349.69273754381,122242.07657670302
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,25,12,0.6756756756756757,3.090901423724664,105513.22084754637,1643.0986606737279
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,6.661471557283548,112541.95404347945,6001.291651706328
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,6.470707564657155,119824.21477718385,5601.860753902671
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,148,71,0.6757990867579908,19.824214777183848,119824.21477718385,536.5095933376288
