Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,31,7,0.8157894736842105,17.92118705396414,117921.18705396414,0.0
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,1.6241387762510817,119836.39077832314,213.07662039042043
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,24,20,0.5454545454545454,-10.197183379045168,107616.45425582836,321586.27798037627
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,26,11,0.7027027027027027,5.710080829815206,113761.44078001726,1727.6500507690216
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,27,11,0.7105263157894737,6.661471557283513,121339.62680073404,14121.89014290781
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,25,10,0.7142857142857143,6.47070756465712,129191.15921105586,6039.771559374451
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,151,68,0.6894977168949772,29.191159211055854,129191.15921105586,0.0
