Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-01,38,27,11,0.7105263157894737,6.661471557283541,106661.47155728354,13617.711539946788
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-02,27,18,9,0.6666666666666666,1.6241387762510888,108393.80187616541,192.7309795049223
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-03,44,26,18,0.5909090909090909,-5.576065267575588,102349.69273754385,190679.94107377366
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-04,37,24,13,0.6486486486486487,0.5366174439494967,102898.91904260223,38068.92190113492
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-05,38,26,12,0.6842105263157895,4.018719536538138,107034.13800505384,23594.355455746976
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None",2024-06,35,23,12,0.6571428571428571,1.2600190198271628,108382.78850162558,5327.705051101846
"TP=0.009, SL=0.016, Method=time_offset, pctChange=None ",Overall,219,144,75,0.6575342465753424,8.382788501625575,108382.78850162558,13617.711539946788
