Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
2024-01,0.012,0.012,31,16,15,0.5161290322580645,-1.1865128607717343,98813.48713922827
2024-02,0.012,0.012,20,10,10,0.5,-1.9642888047366576,98035.71119526334
2024-03,0.012,0.012,36,18,18,0.5,-2.7414615370232354,97258.53846297677
2024-04,0.012,0.012,33,19,14,0.5757575757575758,3.5124720852889144,103512.47208528891
2024-05,0.012,0.012,28,16,12,0.5714285714285714,2.6733186014824315,102673.31860148243
2024-06,0.012,0.012,28,16,12,0.5714285714285714,2.8244029054891726,102824.40290548917
2024-07,0.012,0.012,30,18,12,0.6,5.0051225776497885,105005.12257764979
