Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
2024-01,0.013,0.013,31,14,17,0.45161290322580644,-6.1362961501729005,93863.7038498271
2024-02,0.013,0.013,21,11,10,0.5238095238095238,-0.7841426994685606,99215.85730053144
2024-03,0.013,0.013,36,18,18,0.5,-2.785224880806418,97214.77511919358
2024-04,0.013,0.013,33,21,12,0.6363636363636364,9.539285383372421,109539.28538337242
2024-05,0.013,0.013,27,16,11,0.5925925925925926,4.479224081332534,104479.22408133253
2024-06,0.013,0.013,28,15,13,0.5357142857142857,0.5516788785942772,100551.67887859428
2024-07,0.013,0.013,30,18,12,0.6,5.597533592901862,105597.53359290186
