Date,TP,SL,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV
2024-01,0.012,0.012,31,16,15,0.5161290322580645,-1.1865128607717343,98813.48713922827
2024-02,0.012,0.012,21,11,10,0.5238095238095238,-0.8572988469902775,99142.70115300972
2024-03,0.012,0.012,37,18,19,0.4864864864864865,-3.975818394636357,96024.18160536364
2024-04,0.012,0.012,33,19,14,0.5757575757575758,3.5124720852889144,103512.47208528891
2024-05,0.012,0.012,28,16,12,0.5714285714285714,2.6733186014824315,102673.31860148243
2024-06,0.012,0.012,29,16,13,0.5517241379310345,1.5194068726249244,101519.40687262492
2024-07,0.012,0.012,30,18,12,0.6,5.0051225776497885,105005.12257764979
