TP,SL,ROI
0.009,0.009,11.965366862651964
0.01,0.01,6.416923015456178
0.011,0.011,4.932388729476089
0.012,0.012,9.311361117522543
0.013,0.013,28.212831705796305
0.014,0.014,35.7838188743097
